No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
23,Robert Alford\AlfoRo00,33,CB,13,5,186,5-10,Southeastern Louisiana,10/31/1988,8,2,Atlanta Falcons / 2nd / 60th pick / 2013
94,Zach Allen\AlleZa01,24,DL,15,14,281,6-4,Boston Col.,8/20/1997,2,7,Arizona Cardinals / 3rd / 65th pick / 2019
3,Budda Baker\BakeBu00,25,FS,17,17,195,5-10,Washington,1/10/1996,4,11,Arizona Cardinals / 2nd / 36th pick / 2017
31,Chris Banjo\BanjCh00,31,S,16,0,207,5-10,SMU,2/26/1990,8,1,
68,Kelvin Beachum\BeacKe00,32,T,15,15,308,6-3,SMU,6/8/1989,9,9,Pittsburgh Steelers / 7th / 248th pick / 2012
26,Eno Benjamin\BenjEn00,22,RB,9,0,207,5-9,Arizona St.,4/13/1999,Rook,1,Arizona Cardinals / 7th / 222nd pick / 2020
21,Breon Borders\BordBr00,26,CB,1,0,189,6-0,Duke,7/22/1995,4,0,
46,Aaron Brewer\BrewAa00,31,LS,14,0,232,6-5,San Diego St.,7/5/1990,9,1,
43,Beau Brinkley\BrinBe00,31,LSTE,3,0,260,6-4,Missouri,1/25/1990,9,0,
25,Zaven Collins\CollZa00,22,LB,17,6,260,6-4,Tulsa,5/19/1999,Rook,3,Arizona Cardinals / 1st / 16th pick / 2021
6,James Conner\ConnJa00,26,RB,15,6,233,6-1,Pittsburgh,5/5/1995,4,7,Pittsburgh Steelers / 3rd / 105th pick / 2017
81,Darrell Daniels\DaniDa02,27,TE,15,4,256,6-3,Washington,11/22/1994,4,0,
52,Victor Dimukeje\DimuVi00,22,OLB,14,0,265,6-2,Duke,11/18/1999,Rook,1,Arizona Cardinals / 6th / 210th pick / 2021
91,Michael Dogbe\DogbMi00,25,DL,16,1,295,6-3,Temple,5/5/1996,2,2,Arizona Cardinals / 7th / 249th pick / 2019
83,Greg Dortch\DortGr01,23,WR,5,2,173,5-7,Wake Forest,5/29/1998,2,0,
2,Chase Edmonds\EdmoCh00,25,RB,12,11,210,5-9,Fordham,4/13/1996,3,7,Arizona Cardinals / 4th / 134th pick / 2018
86,Zach Ertz\ErtzZa00,31,TE,11,11,250,6-5,Stanford,11/10/1990,8,6,Philadelphia Eagles / 2nd / 35th pick / 2013
30,Tavien Feaster\FeasTa01,24,RB,3,0,221,6-0,South Carolina,12/31/1997,Rook,0,
49,Kylie Fitts\FittKy00,27,DE,6,0,260,6-4,UCLAUtah,10/11/1994,3,0,Chicago Bears / 6th / 181st pick / 2018
95,Leki Fotu\FotuLe00,23,DL,17,3,330,6-5,Utah,8/23/1998,1,2,Arizona Cardinals / 4th / 114th pick / 2020
73,Max Garcia\GarcMa00,30,C,15,11,309,6-4,Florida,11/9/1991,6,6,Denver Broncos / 4th / 133rd pick / 2015
45,Dennis Gardeck\GardDe01,27,LB,14,3,232,6-0,Sioux Falls,8/9/1994,3,2,
44,Markus Golden\GoldMa00,30,OLB,16,5,260,6-3,Missouri,3/13/1991,6,4,Arizona Cardinals / 2nd / 58th pick / 2015
18,A.J. Green\GreeA.00,33,WR,16,9,207,6-4,Georgia,7/31/1988,10,8,Cincinnati Bengals / 1st / 4th pick / 2011
33,Antonio Hamilton\HamiAn01,28,CB,17,2,188,6-0,South Carolina St.,1/24/1993,5,2,
64,Sean Harlow\HarlSe00,26,OG,15,5,284,6-4,Oregon St.,3/28/1995,3,3,Atlanta Falcons / 4th / 136th pick / 2017
84,Demetrius Harris\HarrDe03,30,TE,14,4,230,6-7,Wisconsin–Milwaukee,7/29/1991,8,0,
53,Marcus Henry\HenrMa02,28,C,5,0,303,6-2,Boise St.,2/11/1993,1,0,
58,Jordan Hicks\HickJo00,29,OLB,17,17,236,6-1,Texas,6/27/1992,6,8,Philadelphia Eagles / 3rd / 84th pick / 2015
10,DeAndre Hopkins\HopkDe00,29,WR,10,10,212,6-1,Clemson,6/6/1992,8,6,Houston Texans / 1st / 27th pick / 2013
61,Rodney Hudson\HudsRo00,32,C,12,12,315,6-2,Florida St.,7/12/1989,10,6,Kansas City Chiefs / 2nd / 55th pick / 2011
74,D.J. Humphries\HumpD.00,28,OT,16,16,307,6-5,Florida,12/28/1993,5,13,Arizona Cardinals / 1st / 24th pick / 2015
17,Andy Isabella\IsabAn00,25,WR,8,0,188,5-9,Massachusetts,11/18/1996,2,0,Arizona Cardinals / 2nd / 62nd pick / 2019
63,Danny Isidora\IsidDa00,27,OG,6,0,306,6-3,Miami (FL),6/5/1994,4,0,Minnesota Vikings / 5th / 180th pick / 2017
55,Chandler Jones\JoneCh03,31,DE,15,15,265,6-5,Syracuse,2/27/1990,9,9,New England Patriots / 1st / 21st pick / 2012
79,Josh Jones\JoneJo07,24,OL,17,12,319,6-7,Houston,6/22/1997,1,8,Arizona Cardinals / 3rd / 72nd pick / 2020
