No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
89,Mark Andrews\AndrMa00,26,TE,17,9,256,6-5,Oklahoma,9/6/1995,3,10,Baltimore Ravens / 3rd / 86th pick / 2018
23,Anthony Averett\AverAn00,27,CB,14,14,178,5-11,Alabama,11/30/1994,3,6,Baltimore Ravens / 4th / 118th pick / 2018
12,Rashod Bateman\BateRa00,22,WR,12,4,210,6-2,Minnesota,11/29/1999,Rook,4,Baltimore Ravens / 1st / 27th pick / 2021
17,Le'Veon Bell\BellLe00,29,RB,5,0,225,6-1,Michigan St.,2/18/1992,8,0,Pittsburgh Steelers / 2nd / 48th pick / 2013
49,Chris Board\BoarCh00,26,LB,16,0,229,6-2,North Dakota St.,7/23/1995,3,1,
54,Tyus Bowser\BowsTy00,26,OLB,17,17,242,6-3,Houston,5/23/1995,4,9,Baltimore Ravens / 2nd / 47th pick / 2017
80,Miles Boykin\BoykMi00,25,WR,8,0,220,6-4,Notre Dame,10/12/1996,2,0,Baltimore Ravens / 3rd / 93rd pick / 2019
86,Nick Boyle\BoylNi00,28,TE,5,3,270,6-4,Delaware,2/17/1993,6,0,Baltimore Ravens / 5th / 171st pick / 2015
77,Bradley Bozeman\BozeBr00,27,C,16,16,325,6-5,Alabama,11/24/1994,3,5,Baltimore Ravens / 6th / 215th pick / 2018
5,Marquise Brown\BrowMa04,24,WR,16,16,180,5-9,College of the Canyons (CA)Oklahoma,6/4/1997,2,8,Baltimore Ravens / 1st / 25th pick / 2019
56,Josh Bynes\ByneJo00,32,MLB,14,12,240,6-1,Auburn,8/24/1989,10,6,
93,Calais Campbell\CampCa99,35,DE,15,14,300,6-8,Miami (FL),9/1/1986,13,7,Arizona Cardinals / 2nd / 50th pick / 2008
39,Trenton Cannon\CannTr00,27,RB,1,0,185,5-11,Virginia St.,7/23/1994,3,0,New York Jets / 6th / 204th pick / 2018
,James Carpenter\CarpJa00,32,LG,1,0,321,6-5,Alabama,3/22/1989,10,0,Seattle Seahawks / 1st / 25th pick / 2011
36,Chuck Clark\ClarCh00,26,FS,16,16,205,6-0,Virginia Tech,4/19/1995,4,7,Baltimore Ravens / 6th / 186th pick / 2017
66,Ben Cleveland\ClevBe00,23,G,12,4,357,6-6,Georgia,8/25/1998,Rook,2,Baltimore Ravens / 3rd / 94th pick / 2021
63,Trystan Colon-Castillo\ColoTr01,23,C,12,1,313,6-3,Missouri,3/23/1998,1,1,
13,Devin Duvernay\DuveDe00,24,WR,16,7,210,5-11,Texas,9/12/1997,1,2,Baltimore Ravens / 3rd / 92nd pick / 2020
32,DeShon Elliott\ElliDe02,24,SS,6,6,210,6-1,Texas,4/21/1997,3,3,Baltimore Ravens / 6th / 190th pick / 2018
71,Justin Ellis\ElliJu01,31,DT,17,5,350,6-2,Louisiana Tech,12/27/1990,7,3,Oakland Raiders / 4th / 107th pick / 2014
45,Jaylon Ferguson\FergJa02,26,DE,10,0,275,6-5,Louisiana Tech,12/14/1995,2,1,Baltimore Ravens / 3rd / 85th pick / 2019
33,Devonta Freeman\FreeDe00,29,RB,16,8,206,5-8,Florida St.,3/15/1992,7,4,Atlanta Falcons / 4th / 103rd pick / 2014
40,Malik Harrison\HarrMa06,23,LB,14,5,247,6-3,Ohio St.,3/5/1998,1,3,Baltimore Ravens / 3rd / 98th pick / 2020
59,Daelin Hayes\HayeDa00,23,OLB,1,0,270,6-3,Notre Dame,5/16/1998,Rook,0,Baltimore Ravens / 5th / 171st pick / 2021
50,Justin Houston\HousJu00,32,LOLB,15,15,270,6-3,Georgia,1/21/1989,10,8,Kansas City Chiefs / 3rd / 70th pick / 2011
44,Marlon Humphrey\HumpMa00,25,CB,12,12,197,6-0,Alabama,7/8/1996,4,5,Baltimore Ravens / 1st / 16th pick / 2017
2,Tyler Huntley\HuntTy01,23,QB,7,4,196,6-1,Utah,2/3/1998,1,2,
8,Lamar Jackson\JackLa00,24,QB,12,12,212,6-2,Louisville,1/7/1997,3,11,Baltimore Ravens / 1st / 32nd pick / 2018
