No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
20,Ameer Abdullah\AbduAm00,28,RB,11,1,196,5-9,Nebraska,6/13/1993,6,3,Detroit Lions / 2nd / 54th pick / 2015
11,Robby Anderson\AndeRo04,28,WR,17,16,190,6-3,Temple,5/9/1993,5,4,
85,Dan Arnold\ArnoDa00,26,WR,3,1,240,6-6,Wisconsin–Platteville,3/15/1995,3,1,
39,Reggie Bonnafon\BonnRe00,25,RB,4,0,215,6-0,Louisville,1/4/1996,2,0,
24,A.J. Bouye\BouyA.00,30,CB,10,7,191,6-0,Central Florida,8/16/1991,8,3,
77,Deonte Brown\BrowDe06,23,OL,3,0,350,6-4,Alabama,1/15/1998,Rook,0,Carolina Panthers / 6th / 193rd pick / 2021
95,Derrick Brown\BrowDe05,23,DL,16,14,320,6-5,Auburn,4/15/1998,1,6,Carolina Panthers / 1st / 7th pick / 2020
33,Spencer Brown\BrowSp01,23,RB,4,0,220,6-0,Ala-Birmingham,11/13/1998,Rook,0,
53,Brian Burns\BurnBr00,23,EDGE,17,16,250,6-5,Florida St.,4/23/1998,2,10,Carolina Panthers / 1st / 16th pick / 2019
31,Juston Burris\BurrJu00,28,CB,10,8,210,6-0,North Carolina St.,8/4/1993,5,3,New York Jets / 4th / 118th pick / 2016
4,Jermaine Carter Jr.\CartJe00,26,LB,17,17,225,6-1,Maryland,1/14/1995,3,7,Carolina Panthers / 5th / 161st pick / 2018
34,Sean Chandler\ChanSe00,25,FS,15,7,200,5-10,Temple,4/27/1996,3,3,
3,Joseph Charlton\CharJo01,24,P,5,0,190,6-5,South Carolina,4/7/1997,1,0,
21,Jeremy Chinn\ChinJe00,23,S,16,16,220,6-3,Southern Illinois,2/26/1998,1,13,Carolina Panthers / 2nd / 64th pick / 2020
70,Brady Christensen\ChriBr00,25,T,16,6,300,6-6,BYU,9/27/1996,Rook,3,Carolina Panthers / 3rd / 70th pick / 2021
83,Matt Cole\ColeMa03,25,WR,1,0,200,5-10,McKendree University,11/7/1996,1,0,
65,Dennis Daley\DaleDe00,25,OL,15,9,325,6-6,South Carolina,8/7/1996,2,4,Carolina Panthers / 6th / 212th pick / 2019
14,Sam Darnold\DarnSa00,24,QB,12,11,225,6-3,USC,6/5/1997,3,6,New York Jets / 1st / 3rd pick / 2018
10,Lac Edwards\EdwaLa01,29,P,10,0,209,6-4,Sam Houston St.,4/27/1992,5,1,New York Jets / 7th / 235th pick / 2016
60,Pat Elflein\ElflPa00,27,C,9,9,303,6-3,Ohio St.,7/6/1994,4,3,Minnesota Vikings / 3rd / 70th pick / 2017
13,Alex Erickson\EricAl01,29,WR,17,0,195,6-0,Wisconsin,11/6/1992,5,0,
75,Cameron Erving\ErviCa00,29,OT,9,9,315,6-5,Florida St.,8/23/1992,6,4,Cleveland Browns / 1st / 19th pick / 2015
91,Morgan Fox\FoxxMo00,27,DL,17,9,260,6-3,Colorado State-Pueblo,9/12/1994,5,4,
42,Sam Franklin\FranSa00,25,OLB,16,0,210,6-3,Temple,2/2/1996,1,1,
32,Royce Freeman\FreeRo00,25,RB,8,0,238,6-0,Oregon,2/24/1996,3,1,Denver Broncos / 3rd / 71st pick / 2018
9,Stephon Gilmore\GilmSt00,31,CB,8,3,202,6-1,South Carolina,9/19/1990,9,5,Buffalo Bills / 1st / 10th pick / 2012
5,Zane Gonzalez\GonzZa00,26,K,12,0,202,6-0,Arizona St.,5/7/1995,4,4,Cleveland Browns / 7th / 224th pick / 2017
97,Yetur Gross-Matos\GrosYe00,23,DL,14,2,265,6-5,Penn St.,2/26/1998,1,2,Carolina Panthers / 2nd / 38th pick / 2020
3,Lirim Hajrullahu\HajrLi00,31,K,3,0,215,5-11,Western Ontario,4/24/1990,Rook,0,
36,Madre Harper\HarpMa00,24,DB,3,0,190,6-2,Southern Illinois,10/13/1997,1,0,
