No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
77,Hakeem Adeniji\AdenHa00,24,OL,9,9,300,6-5,Kansas,12/8/1997,1,4,Cincinnati Bengals / 6th / 180th pick / 2020
8,Brandon Allen\AlleBr00,29,QB,6,1,209,6-2,Arkansas,9/5/1992,3,0,Jacksonville Jaguars / 6th / 201st pick / 2016
37,Ricardo Allen\AlleRi00,30,CB,14,1,186,5-9,Purdue,12/18/1991,7,1,Atlanta Falcons / 5th / 147th pick / 2014
20,Eli Apple\ApplEl00,26,CB,16,15,199,6-1,Ohio St.,8/9/1995,5,6,New York Giants / 1st / 10th pick / 2016
22,Chidobe Awuzie\AwuzCh00,26,CB,14,14,202,6-0,Colorado,5/24/1995,4,5,Dallas Cowboys / 2nd / 60th pick / 2017
49,Joe Bachie\BachJo01,23,LB,9,2,235,6-2,Michigan St.,2/26/1998,1,2,
51,Markus Bailey\BailMa01,24,LB,16,3,235,6-0,Purdue,3/7/1997,1,3,Cincinnati Bengals / 7th / 215th pick / 2020
30,Jessie Bates III\BateJe00,24,FS,15,15,200,6-1,Wake Forest,2/26/1997,3,6,Cincinnati Bengals / 2nd / 54th pick / 2018
24,Vonn Bell\BellVo00,27,SS,16,16,205,5-11,Ohio St.,12/12/1994,5,6,New Orleans Saints / 2nd / 61st pick / 2016
83,Tyler Boyd\BoydTy00,27,WR,16,10,203,6-2,Pittsburgh,11/15/1994,5,8,Cincinnati Bengals / 2nd / 55th pick / 2016
9,Joe Burrow\BurrJo01,25,QB,16,16,221,6-4,Ohio St.LSU,12/10/1996,1,15,Cincinnati Bengals / 1st / 1st pick / 2020
48,Austin Calitro\CaliAu00,27,RILB,5,0,240,6-0,Villanova,1/10/1994,3,0,
79,Jackson Carman\CarmJa00,21,G,17,6,330,6-5,Clemson,1/22/2000,Rook,4,Cincinnati Bengals / 2nd / 46th pick / 2021
1,Ja'Marr Chase\ChasJa00,21,WR,17,17,200,6-1,LSU,3/1/2000,Rook,13,Cincinnati Bengals / 1st / 5th pick / 2021
76,Mike Daniels\DaniMi00,32,DT,2,1,310,6-0,Iowa,5/5/1989,9,1,Green Bay Packers / 4th / 132nd pick / 2012
35,Jalen Davis\DaviJa06,25,CB,15,0,185,5-10,Utah St.,2/2/1996,3,1,
33,Sean Davis\DaviSe00,28,FS,3,0,202,6-1,Maryland,10/23/1993,5,0,Pittsburgh Steelers / 2nd / 58th pick / 2016
59,Akeem Davis-Gaither\DaviAk01,24,LB,9,0,215,6-2,Appalachian St.,9/21/1997,1,1,Cincinnati Bengals / 4th / 107th pick / 2020
25,Chris Evans\EvanCh02,24,RB,14,1,219,5-11,Michigan,10/5/1997,Rook,2,Cincinnati Bengals / 6th / 202nd pick / 2021
50,Jordan Evans\EvanJo01,26,ILB,5,0,242,6-3,Oklahoma,1/27/1995,4,0,Cincinnati Bengals / 6th / 193rd pick / 2017
33,Tre Flowers\FlowTr01,26,SS,11,1,203,6-3,Oklahoma St.,6/2/1995,3,1,Seattle Seahawks / 5th / 146th pick / 2018
3,Elliott Fry\FryxEl01,27,K,1,0,170,6-0,South Carolina,12/12/1994,1,0,
29,Vernon Hargreaves III\HargVe00,26,CB,4,1,204,5-10,Florida,6/3/1995,5,1,Tampa Bay Buccaneers / 1st / 11th pick / 2016
46,Clark Harris\HarrCl20,37,TE,17,0,250,6-5,Rutgers,7/10/1984,13,1,Green Bay Packers / 7th / 243rd pick / 2007
41,Trayvon Henderson\HendTr01,26,S,2,0,205,6-0,Hawaii,8/15/1995,3,1,
91,Trey Hendrickson\HendTr00,27,DE,16,14,270,6-4,Florida Atlantic,12/5/1994,4,11,New Orleans Saints / 3rd / 103rd pick / 2017
85,Tee Higgins\HiggTe00,22,WR,14,14,215,6-4,Clemson,1/18/1999,1,10,Cincinnati Bengals / 2nd / 33rd pick / 2020
