No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
34,Brian Allen\AlleBr01,28,CB,3,0,215,6-3,Utah,10/21/1993,4,0,Pittsburgh Steelers / 5th / 173rd pick / 2017
13,Odell Beckham Jr.\BeckOd00,29,WR,6,6,198,5-11,LSU,11/5/1992,7,2,New York Giants / 1st / 12th pick / 2014
99,Andrew Billings\BillAn00,26,DT,6,0,328,6-1,Baylor,3/6/1995,4,0,Cincinnati Bengals / 4th / 122nd pick / 2016
75,Joel Bitonio\BitoJo00,30,G,17,17,320,6-4,Nevada,10/11/1991,7,14,Cleveland Browns / 2nd / 35th pick / 2014
84,Ja'Marcus Bradley\BradJa01,25,WR,5,0,195,6-1,Louisiana,12/11/1996,1,1,
99,Josiah Bronson\BronJo01,24,,1,0,298,6-3,Washington,7/3/1997,Rook,0,
88,Harrison Bryant\BryaHa00,23,TE,16,3,230,6-5,Florida Atlantic,4/23/1998,1,2,Cleveland Browns / 4th / 115th pick / 2020
83,Lawrence Cager\CageLa01,24,WR,1,0,220,6-5,Georgia,8/20/1997,1,0,
89,Stephen Carlson\CarlSt00,25,TE,2,0,240,6-4,Princeton,12/12/1996,2,0,
24,Nick Chubb\ChubNi00,26,RB,14,14,227,5-11,Georgia,12/27/1995,3,10,Cleveland Browns / 2nd / 35th pick / 2018
90,Jadeveon Clowney\ClowJa00,28,DE,14,14,255,6-5,South Carolina,2/14/1993,7,6,Houston Texans / 1st / 1st pick / 2014
15,Adrian Colbert\ColbAd00,28,SS,2,0,205,6-2,Miami (FL),10/6/1993,4,0,San Francisco 49ers / 7th / 229th pick / 2017
2,Dustin Colquitt\ColqDu20,39,P,5,0,210,6-3,Tennessee,5/6/1982,16,0,Kansas City Chiefs / 3rd / 99th pick / 2005
78,Jack Conklin\ConkJa00,27,OT,7,7,308,6-6,Michigan St.,8/17/1994,5,3,Tennessee Titans / 1st / 8th pick / 2016
86,Connor Davis\DaviCo04,27,TE,1,0,271,6-8,Stony Brook,10/20/1994,Rook,0,
92,Sheldon Day\DayxSh00,27,DT,7,1,294,6-1,Notre Dame,7/1/1994,5,1,Jacksonville Jaguars / 4th / 103rd pick / 2016
22,Grant Delpit\DelpGr00,23,FS,15,7,208,6-3,LSU,9/20/1998,Rook,3,Cleveland Browns / 2nd / 44th pick / 2020
68,Michael Dunn\DunnMi01,27,OT,14,2,315,6-5,Maryland,8/28/1994,1,1,
96,Jordan Elliott\ElliJo02,24,DL,16,3,303,6-4,TexasMissouri,11/23/1997,1,2,Cleveland Browns / 3rd / 88th pick / 2020
25,Demetric Felton\FeltDe00,23,RB,16,2,189,5-9,UCLA,7/16/1998,Rook,2,Cleveland Browns / 6th / 211th pick / 2021
42,Tony Fields\FielTo00,22,LB,10,0,222,6-0,ArizonaWest Virginia,6/18/1999,Rook,1,Cleveland Browns / 5th / 153rd pick / 2021
79,Drew Forbes\ForbDr00,24,OT,1,0,305,6-5,SE Missouri St.,1/18/1997,2,0,Cleveland Browns / 6th / 189th pick / 2019
86,Miller Forristall\ForrMi00,23,TE,2,0,244,6-5,Alabama,3/11/1998,Rook,0,
87,Jordan Franks\FranJo03,25,HB,1,0,240,6-4,Central Florida,2/1/1996,3,0,
72,Hjalte Froholdt\FrohHj00,25,OL,6,0,310,6-5,Arkansas,8/20/1996,1,0,New England Patriots / 4th / 118th pick / 2019
95,Myles Garrett\GarrMy00,26,DE,17,17,272,6-4,Texas A&M,12/29/1995,4,17,Cleveland Browns / 1st / 1st pick / 2017
7,Jamie Gillan\GillJa00,24,P,12,0,207,6-1,Ark-Pine Bluff,7/4/1997,2,1,
38,A.J. Green\GreeAJ00,23,DB,12,1,198,6-2,Oklahoma St.,6/9/1998,1,1,
94,Porter Gustin\GustPo01,24,LB,6,1,260,6-5,USC,2/8/1997,2,1,
62,Blake Hance\HancBl00,25,T,17,8,310,6-6,Northwestern,1/11/1996,Rook,4,
53,Nick Harris\HarrNi01,23,OL,11,1,293,6-1,Washington,11/13/1998,1,1,Cleveland Browns / 5th / 160th pick / 2020
