No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
56,Bradlee Anae\AnaeBr00,23,DL,4,0,257,6-3,Utah,10/17/1998,1,0,Dallas Cowboys / 5th / 179th pick / 2020
5,Bryan Anger\AngeBr00,33,P,17,0,202,6-3,California,10/6/1988,9,3,Jacksonville Jaguars / 3rd / 70th pick / 2012
92,Dorance Armstrong Jr.\ArmsDo00,24,DE,13,5,255,6-4,Kansas,6/10/1997,3,4,Dallas Cowboys / 4th / 116th pick / 2018
93,Tarell Basham\BashTa00,27,DE,17,6,266,6-4,Ohio,3/18/1994,4,4,Indianapolis Colts / 3rd / 80th pick / 2017
53,Francis Bernard\BernFr01,26,LB,8,0,235,6-1,Utah,4/8/1995,1,1,
63,Tyler Biadasz\BiadTy00,24,OL,17,17,316,6-3,Wisconsin,11/20/1997,1,7,Dallas Cowboys / 4th / 146th pick / 2020
98,Quinton Bohanna\BohaQu00,22,DT,14,1,360,6-4,Kentucky,3/16/1999,Rook,2,Dallas Cowboys / 6th / 192nd pick / 2021
30,Anthony Brown\BrowAn02,28,CB,16,16,196,5-11,Boston Col.Purdue,12/15/1993,5,5,Dallas Cowboys / 6th / 189th pick / 2016
36,Kyron Brown\BrowKy00,25,DB,1,0,195,6-1,Akron,5/26/1996,2,0,
85,Noah Brown\BrowNo00,25,WR,13,1,225,6-2,Ohio St.,1/6/1996,4,2,Dallas Cowboys / 7th / 239th pick / 2017
49,Ian Bunting\BuntIa00,25,TE,1,0,248,6-6,California,2/10/1996,Rook,0,
33,Deante Burton\BurtDe00,27,WR,1,0,205,6-2,Kansas St.,7/12/1994,3,0,
31,Maurice Canady\CanaMa00,27,CB,8,0,193,6-1,Virginia,5/26/1994,5,0,Baltimore Ravens / 6th / 209th pick / 2016
32,Corey Clement\ClemCo00,27,RB,17,0,220,5-10,Wisconsin,11/2/1994,4,1,
71,La'el Collins\CollLa01,28,OT,12,10,320,6-4,LSU,7/26/1993,6,5,
19,Amari Cooper\CoopAm00,27,WR,15,14,210,6-1,Alabama,6/17/1994,6,7,Oakland Raiders / 1st / 4th pick / 2015
14,Jabril Cox\CoxxJa00,23,LB,7,0,233,6-3,North Dakota St.LSU,4/16/1998,Rook,1,Dallas Cowboys / 4th / 115th pick / 2021
39,Tyler Coyle\CoylTy00,23,,2,0,215,6-2,Purdue,11/15/1998,Rook,0,
27,Trevon Diggs\DiggTr00,23,CB,16,16,195,6-2,Alabama,9/20/1998,1,15,Dallas Cowboys / 2nd / 51st pick / 2020
21,Ezekiel Elliott\ElliEz00,26,RB,17,17,228,6-0,Ohio St.,7/22/1995,5,8,Dallas Cowboys / 1st / 4th pick / 2016
58,Austin Faoliu\FaolAu00,22,DT,1,0,293,6-3,Oregon,1/9/1999,Rook,0,
68,Matt Farniok\FarnMa00,24,G,12,0,311,6-5,Nebraska,9/26/1997,Rook,1,Dallas Cowboys / 7th / 238th pick / 2021
81,Simi Fehoko\FehoSi00,24,WR,5,0,220,6-3,Stanford,11/5/1997,Rook,0,Dallas Cowboys / 5th / 179th pick / 2021
96,Neville Gallimore\GallNe00,24,DL,5,4,302,6-2,Oklahoma,1/17/1997,1,2,Dallas Cowboys / 3rd / 82nd pick / 2020
13,Michael Gallup\GallMi00,25,WR,9,8,198,6-1,Colorado St.,3/4/1996,3,4,Dallas Cowboys / 3rd / 81st pick / 2018
57,Luke Gifford\GiffLu00,26,LB,16,0,243,6-3,Nebraska,8/28/1995,2,1,
59,Chauncey Golston\GolsCh00,23,DE,15,0,268,6-5,Iowa,2/10/1998,Rook,2,Dallas Cowboys / 3rd / 84th pick / 2021
29,C.J. Goodwin\GoodC.00,31,DB,17,0,190,6-3,California (PA),2/4/1990,7,1,
94,Randy Gregory\GregRa00,29,DE,12,11,255,6-5,Nebraska,11/23/1992,6,6,Dallas Cowboys / 2nd / 60th pick / 2015
3,Lirim Hajrullahu\HajrLi00,31,K,1,0,215,5-11,Western Ontario,4/24/1990,Rook,0,
99,Justin Hamilton\HamiJu00,28,DT,9,0,315,6-2,Louisiana,7/27/1993,4,1,
37,JaQuan Hardy\HardJa01,24,,3,0,225,5-10,Tiffin,12/31/1997,Rook,0,
72,Trysten Hill\HillTr00,23,DL,6,0,308,6-3,Central Florida,3/25/1998,2,1,Dallas Cowboys / 2nd / 58th pick / 2019
28,Malik Hooker\HookMa00,25,FS,15,3,212,6-2,Ohio St.,4/2/1996,4,2,Indianapolis Colts / 1st / 15th pick / 2017
89,Blake Jarwin\JarwBl00,27,TE,8,5,260,6-5,Oklahoma St.,7/16/1994,4,1,
24,Kelvin Joseph\JoseKe02,21,DB,10,2,192,6-1,LSUKentucky,11/11/2000,Rook,1,Dallas Cowboys / 2nd / 44th pick / 2021
43,Azur Kamara\KamaAz01,25,LB,9,0,235,6-4,Kansas,1/1/1996,Rook,1,
18,Damontae Kazee\KazeDa00,28,CB,17,15,174,5-11,San Diego St.,6/5/1993,4,5,Atlanta Falcons / 5th / 149th pick / 2017
27,Jayron Kearse\KearJa00,27,SS,16,15,215,6-4,Clemson,2/11/1994,5,5,Minnesota Vikings / 7th / 244th pick / 2016
69,Brandon Knight\KnigBr01,24,OL,1,0,314,6-5,Indiana,4/1/1997,2,0,
88,CeeDee Lamb\LambCe00,22,WR,16,13,189,6-2,Oklahoma,4/8/1999,1,10,Dallas Cowboys / 1st / 17th pick / 2020
90,DeMarcus Lawrence\LawrDe00,29,DE,7,7,265,6-3,Butler (KS)Boise St.,4/28/1992,7,4,Dallas Cowboys / 2nd / 34th pick / 2014
26,Jourdan Lewis\LewiJo01,26,CB,16,13,195,5-10,Michigan,8/31/1995,4,5,Dallas Cowboys / 3rd / 92nd pick / 2017
70,Zack Martin\MartZa00,31,G,16,16,315,6-4,Notre Dame,11/20/1990,7,13,Dallas Cowboys / 1st / 16th pick / 2014
66,Connor McGovern\McGoCo01,24,OL,16,6,308,6-5,Penn St.,11/3/1997,1,3,Dallas Cowboys / 3rd / 90th pick / 2019
84,Sean McKeon\McKeSe01,24,TE,9,2,246,6-5,Michigan,12/28/1997,1,0,
44,Jake McQuaide\McQuJa00,34,LS,17,0,247,6-2,Ohio St.,12/7/1987,10,1,
38,Israel Mukuamu\MukuIs00,22,S,4,0,205,6-4,South Carolina,11/28/1999,Rook,0,Dallas Cowboys / 6th / 227th pick / 2021
42,Keanu Neal\NealKe01,26,FS,14,5,211,6-0,Florida,7/26/1995,5,3,Atlanta Falcons / 1st / 17th pick / 2016
