No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
95,McTelvin Agim\AgimMc00,24,DL,7,0,309,6-3,Arkansas,9/25/1997,1,1,Denver Broncos / 3rd / 95th pick / 2020
76,Calvin Anderson\AndeCa00,25,T,11,3,300,6-5,RiceTexas,3/25/1996,1,2,
75,Quinn Bailey\BailQu00,26,T,4,0,323,6-6,Arizona St.,10/18/1995,2,0,
34,Essang Bassey\BassEs01,23,DB,1,0,190,5-10,Wake Forest,8/12/1998,1,0,
83,Andrew Beck\BeckAn01,25,TE,12,0,255,6-3,Texas,5/15/1996,2,0,
46,Jacob Bobenmoyer\BobeJa00,24,LS,17,0,235,6-2,Northern Colorado,5/28/1997,1,1,
72,Garett Bolles\BollGa00,29,OT,14,14,300,6-5,Snow College (UT)Utah,5/27/1992,4,7,Denver Broncos / 1st / 20th pick / 2017
26,Mike Boone\BoonMi00,26,RB,8,0,205,5-10,Cincinnati,7/30/1995,3,0,
5,Teddy Bridgewater\BridTe00,29,QB,14,14,215,6-2,Louisville,11/10/1992,7,10,Minnesota Vikings / 1st / 32nd pick / 2014
17,John Brown\BrowJo02,31,WR,2,0,178,5-11,Pittsburg St.,4/3/1990,7,0,Arizona Cardinals / 3rd / 91st pick / 2014
56,Baron Browning\BrowBa01,22,LB,14,9,240,6-3,Ohio St.,2/19/1999,Rook,5,Denver Broncos / 3rd / 105th pick / 2021
29,Bryce Callahan\CallBr00,30,CB,11,6,188,5-9,Rice,10/23/1991,6,3,
55,Bradley Chubb\ChubBr00,25,DE,7,7,275,6-4,North Carolina St.,6/24/1996,3,4,Denver Broncos / 1st / 5th pick / 2018
16,Tyrie Cleveland\ClevTy00,24,WR,7,0,209,6-2,Florida,9/20/1997,1,0,Denver Broncos / 7th / 252nd pick / 2020
53,Jonathon Cooper\CoopJo02,23,OLB,16,5,254,6-3,Ohio St.,1/8/1998,Rook,4,Denver Broncos / 7th / 239th pick / 2021
28,Damarea Crockett\CrocDa01,24,RB,12,0,225,5-11,Missouri,12/22/1997,Rook,0,
79,Lloyd Cushenberry III\CushLl00,24,OL,16,16,312,6-3,LSU,11/22/1997,1,7,Denver Broncos / 3rd / 83rd pick / 2020
21,Ronald Darby\DarbRo00,27,CB,11,11,193,5-11,Florida St.,1/2/1994,6,4,Buffalo Bills / 2nd / 50th pick / 2015
87,Noah Fant\FantNo00,24,TE,16,16,249,6-4,Iowa,11/20/1997,2,6,Denver Broncos / 1st / 20th pick / 2019
,Rojesterman Farris\FarrRo00,24,CB,1,0,179,5-11,Hawaii,9/11/1997,Rook,0,
73,Cameron Fleming\FlemCa00,29,OT,5,4,325,6-6,Stanford,9/3/1992,7,2,New England Patriots / 4th / 140th pick / 2014
12,Mike Ford\FordMi01,26,CB,13,0,194,6-0,SE Missouri St.,8/4/1995,3,1,
17,Travis Fulgham\FulgTr00,26,WR,1,0,215,6-2,Old Dominion,9/13/1995,2,0,Detroit Lions / 6th / 184th pick / 2019
23,Kyle Fuller\FullKy00,29,CB,16,10,190,5-11,Virginia Tech,2/16/1992,7,4,Chicago Bears / 1st / 14th pick / 2014
61,Graham Glasgow\GlasGr00,29,OG,7,7,310,6-6,Michigan,7/19/1992,5,3,Detroit Lions / 3rd / 95th pick / 2016
25,Melvin Gordon\GordMe00,28,RB,16,16,215,6-1,Wisconsin,4/13/1993,6,7,San Diego Chargers / 1st / 15th pick / 2015
50,Jonas Griffith\GrifJo01,24,LB,13,4,250,6-4,Indiana St.,1/27/1997,Rook,3,
27,Nate Hairston\HairNa00,27,CB,16,1,185,6-0,Temple,6/30/1994,4,1,Indianapolis Colts / 5th / 158th pick / 2017
1,KJ Hamler\HamlKJ00,22,WR,3,2,178,5-9,Penn St.,7/8/1999,1,1,Denver Broncos / 2nd / 46th pick / 2020
92,Jonathan Harris\HarrJo05,25,DE,3,0,295,6-5,Lindenwood,8/4/1996,2,0,
96,Shelby Harris\HarrSh00,30,DE,16,16,290,6-2,Illinois St.,8/11/1991,7,9,Oakland Raiders / 7th / 235th pick / 2014
9,Kendall Hinton\HintKe00,24,WR,16,1,195,6-0,Wake Forest,2/19/1997,1,1,
22,Kareem Jackson\JackKa99,33,DB,15,15,183,5-10,Alabama,4/10/1988,11,6,Houston Texans / 1st / 20th pick / 2010
10,Jerry Jeudy\JeudJe00,22,WR,10,5,193,6-1,Alabama,4/24/1999,1,4,Denver Broncos / 1st / 15th pick / 2020
47,Josey Jewell\JeweJo00,27,ILB,2,2,236,6-1,Iowa,12/25/1994,3,1,Denver Broncos / 4th / 106th pick / 2018
45,Alexander Johnson\JohnAl01,30,LB,6,6,255,6-2,Tennessee,12/24/1991,3,4,
41,Jamar Johnson\JohnJa15,22,DB,3,0,197,6-1,Indiana,11/22/1999,Rook,0,Denver Broncos / 5th / 164th pick / 2021
93,Dre'Mont Jones\JoneDr00,24,DL,16,7,281,6-3,Ohio St.,1/5/1997,2,5,Denver Broncos / 3rd / 71st pick / 2019
