No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
13,Geronimo Allison\AlliGe01,27,WR,3,1,202,6-3,Illinois,1/18/1994,5,0,
34,Alex Anzalone\AnzaAl00,27,OLB,14,14,237,6-3,Florida,9/22/1994,4,5,New Orleans Saints / 3rd / 76th pick / 2017
36,Corey Ballentine\BallCo00,25,CB,4,0,191,6-0,Washburn,4/13/1996,2,0,New York Giants / 6th / 180th pick / 2019
55,Derrick Barnes\BarnDe02,22,LB,17,6,238,6-0,Purdue,5/29/1999,Rook,3,Detroit Lions / 4th / 113th pick / 2021
59,Tavante Beckett\BeckTa00,24,LB,4,0,214,5-10,Virginia TechMarshall,10/21/1997,Rook,0,
17,Trinity Benson\BensTr00,24,WR,8,2,180,6-0,East Central (OK),1/16/1997,Rook,1,
43,Rashod Berry\BerrRa01,25,TE,5,0,255,6-4,Ohio St.,10/14/1996,1,0,
10,David Blough\BlouDa00,26,QB,1,0,205,6-1,Purdue,7/31/1995,2,0,
49,Curtis Bolton\BoltCu00,26,LB,5,0,228,6-0,Oklahoma,12/18/1995,Rook,0,
12,Tim Boyle\BoylTi00,27,QB,5,3,233,6-4,ConnecticutEast. Kentucky,10/3/1994,3,2,
15,Brady Breeze\BreeBr00,24,S,4,0,198,6-0,Oregon,10/9/1997,Rook,0,Tennessee Titans / 6th / 215th pick / 2021
91,Michael Brockers\BrocMi00,31,DT,16,16,297,6-5,LSU,12/21/1990,9,6,St. Louis Rams / 1st / 14th pick / 2012
63,Evan Brown\BrowEv00,25,C,16,12,320,6-3,SMU,9/16/1996,3,5,
2,Austin Bryant\BryaAu00,25,EDGE,14,5,260,6-5,Clemson,11/12/1996,2,3,Detroit Lions / 4th / 117th pick / 2019
45,Jason Cabinda\CabiJa00,25,ILB,14,4,240,6-1,Penn St.,3/17/1996,3,0,
87,Quintez Cephus\CephQu00,23,WR,5,3,208,6-1,Wisconsin,4/1/1998,1,2,Detroit Lions / 5th / 166th pick / 2020
8,Jamie Collins\CollJa00,32,OLB,2,2,255,6-3,Southern Miss,10/20/1989,8,1,New England Patriots / 2nd / 52nd pick / 2013
96,Jashon Cornell\CornJa01,25,DE,1,0,285,6-3,Ohio St.,12/30/1996,Rook,0,Detroit Lions / 7th / 235th pick / 2020
47,Scott Daly\DalySc01,27,LS,17,0,245,6-1,Notre Dame,2/7/1994,3,1,
68,Taylor Decker\DeckTa00,28,OT,9,9,318,6-7,Ohio St.,8/23/1993,5,4,Detroit Lions / 1st / 16th pick / 2016
65,Parker Ehinger\EhinPa00,29,OG,2,0,310,6-6,Cincinnati,12/30/1992,5,0,Kansas City Chiefs / 4th / 105th pick / 2016
42,Jalen Elliott\ElliJa05,23,DB,8,1,210,6-0,Notre Dame,7/7/1998,Rook,1,
80,Darren Fells\FellDa01,35,TE,7,5,270,6-7,UC Irvine,4/22/1986,8,0,
90,Trey Flowers\FlowTr00,28,DE,7,7,265,6-2,Arkansas,8/16/1993,6,3,New England Patriots / 4th / 101st pick / 2015
3,Jack Fox\FoxxJa01,25,P,17,0,215,6-2,Rice,9/1/1996,1,3,
40,Mark Gilbert\GilbMa02,24,CB,8,0,175,6-1,Duke,6/1/1997,Rook,0,
