No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
17,Davante Adams\AdamDa01,29,WR,16,16,215,6-1,Fresno St.,12/24/1992,7,15,Green Bay Packers / 2nd / 53rd pick / 2014
23,Jaire Alexander\AlexJa00,24,CB,4,4,196,5-10,Louisville,2/9/1997,3,1,Green Bay Packers / 1st / 18th pick / 2018
31,Adrian Amos\AmosAd00,28,FS,17,17,214,6-0,Penn St.,4/29/1993,6,5,Chicago Bears / 5th / 142nd pick / 2015
98,Abdullah Anderson\AndeAb00,25,DT,3,0,297,6-3,Bucknell,1/24/1996,2,0,
69,David Bakhtiari\BakhDa00,30,OT,1,1,310,6-4,Colorado,9/30/1991,8,1,Green Bay Packers / 4th / 109th pick / 2013
51,Krys Barnes\BarnKr00,23,LB,16,13,229,6-2,UCLA,4/2/1998,1,6,
6,Kurt Benkert\BenkKu01,26,QB,1,0,215,6-4,Virginia,7/17/1995,Rook,0,
41,Henry Black\BlacHe00,24,DB,17,0,204,6-0,Baylor,1/3/1997,1,1,
7,Corey Bojorquez\BojoCo00,25,P,17,0,217,6-0,Cerritos (CA)New Mexico,9/13/1996,3,2,
64,Ben Braden\BradBe00,27,OG,9,0,329,6-6,Michigan,3/9/1994,3,1,
43,Hunter Bradley\BradHu00,27,LS,8,0,241,6-3,Mississippi St.,5/21/1994,3,0,Green Bay Packers / 7th / 239th pick / 2018
42,Oren Burks\BurkOr00,26,ILB,17,3,233,6-3,Vanderbilt,3/21/1995,3,2,Green Bay Packers / 3rd / 88th pick / 2018
59,De'Vondre Campbell\CampDe00,28,OLB,16,16,232,6-3,Minnesota,7/1/1993,5,14,Atlanta Falcons / 4th / 115th pick / 2016
97,Kenny Clark\ClarKe01,26,DT,16,16,314,6-3,UCLA,10/4/1995,5,9,Green Bay Packers / 1st / 27th pick / 2016
18,Randall Cobb\CobbRa00,31,WR,12,3,195,5-10,Kentucky,8/22/1990,10,4,Green Bay Packers / 2nd / 64th pick / 2011
2,Mason Crosby\CrosMa20,37,K,17,0,207,6-1,Colorado,9/3/1984,14,1,Green Bay Packers / 6th / 193rd pick / 2007
49,Dominique Dafney\DafnDo00,24,TE,10,2,243,6-2,IowaIndiana St.,6/3/1997,1,0,
30,Shawn Davis\DaviSh02,23,DB,1,0,206,6-0,Florida,12/24/1998,Rook,0,Indianapolis Colts / 5th / 165th pick / 2021
