No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
49,Matthew Adams\AdamMa00,26,LB,17,0,229,6-0,Houston,12/12/1995,3,1,Indianapolis Colts / 7th / 221st pick / 2018
41,Jahleel Addae\AddaJa00,31,S,9,1,195,5-10,Central Michigan,1/24/1990,8,1,
81,Mo Alie-Cox\AlieMo00,28,TE,17,7,267,6-5,Virginia Commonwealth,9/19/1993,3,3,
6,Michael Badgley\BadgMi00,26,K,12,0,183,5-10,Miami (FL),7/28/1995,3,3,
52,Ben Banogu\BanoBe00,25,EDGE,9,0,252,6-3,TCU,1/19/1996,2,1,Indianapolis Colts / 2nd / 49th pick / 2019
32,Julian Blackmon\BlacJu01,23,S,6,6,187,6-0,Utah,8/24/1998,1,2,Indianapolis Colts / 3rd / 85th pick / 2020
3,Rodrigo Blankenship\BlanRo03,24,K,5,0,184,6-1,Georgia,1/29/1997,1,0,
99,DeForest Buckner\BuckDe00,27,DT,17,16,295,6-7,Oregon,3/17/1994,5,9,San Francisco 49ers / 1st / 7th pick / 2016
36,Ibraheim Campbell\CampIb00,29,SS,2,0,210,5-11,Northwestern,5/13/1992,6,0,Cleveland Browns / 4th / 115th pick / 2015
1,Parris Campbell\CampPa00,24,WR,6,3,208,6-0,Ohio St.,7/16/1997,2,2,Indianapolis Colts / 2nd / 59th pick / 2019
38,T.J. Carrie\CarrTr00,31,CB,11,1,204,6-0,Ohio,7/28/1990,7,1,Oakland Raiders / 7th / 219th pick / 2014
47,Anthony Chesley\ChesAn00,25,DB,9,0,190,6-0,Coastal Carolina,5/31/1996,1,1,
92,Kameron Cline\ClinKa00,23,DT,1,0,270,6-4,South Dakota,2/19/1998,1,0,
15,Keke Coutee\CoutKe00,24,WR,2,0,180,5-11,Texas Tech,1/14/1997,3,0,Houston Texans / 4th / 103rd pick / 2018
73,Julie'n Davenport\DaveJu00,26,OT,9,4,315,6-7,Bucknell,1/9/1995,4,3,Houston Texans / 4th / 130th pick / 2017
74,Khalil Davis\DaviKh00,25,DL,1,0,308,6-1,Nebraska,8/22/1996,1,0,Tampa Bay Buccaneers / 6th / 194th pick / 2020
29,Sean Davis\DaviSe00,28,FS,1,0,202,6-1,Maryland,10/23/1993,5,0,Pittsburgh Steelers / 2nd / 58th pick / 2016
84,Jack Doyle\DoylJa00,31,TE,17,14,262,6-6,Western Kentucky,5/5/1990,8,3,
16,Ashton Dulin\DuliAs00,24,WR,17,1,215,6-1,Malone,5/15/1997,2,2,
9,Jacob Eason\EasoJa00,24,QB,1,0,231,6-6,GeorgiaWashington,11/17/1997,Rook,0,Indianapolis Colts / 4th / 122nd pick / 2020
4,Sam Ehlinger\EhliSa00,23,QB,3,0,225,6-3,Texas,9/30/1998,Rook,0,Indianapolis Colts / 6th / 218th pick / 2021
79,Eric Fisher\FishEr00,30,OT,15,15,315,6-7,Central Michigan,1/5/1991,8,8,Kansas City Chiefs / 1st / 1st pick / 2013
44,Zaire Franklin\FranZa00,25,LB,17,11,235,6-0,Syracuse,7/2/1996,3,5,Indianapolis Colts / 7th / 235th pick / 2018
75,Will Fries\FrieWi00,23,OL,3,0,309,6-6,Penn St.,4/4/1998,Rook,0,Indianapolis Colts / 7th / 248th pick / 2021
59,Jordan Glasgow\GlasJo00,25,LB,12,0,226,6-1,Michigan,6/28/1996,1,1,Indianapolis Colts / 6th / 213th pick / 2020
64,Mark Glowinski\GlowMa00,29,OG,16,14,310,6-4,LackawannaWest Virginia,5/3/1992,6,6,Seattle Seahawks / 4th / 134th pick / 2015
83,Kylen Granson\GranKy00,23,TE,17,0,242,6-2,RiceSMU,3/27/1998,Rook,1,Indianapolis Colts / 4th / 127th pick / 2021
12,De'Michael Harris\HarrDe09,23,WR,3,0,178,5-8,Southern Miss,7/12/1998,Rook,0,
13,T.Y. Hilton\HiltT.00,32,WR,10,9,183,5-10,Florida International,11/14/1989,9,3,Indianapolis Colts / 3rd / 92nd pick / 2012
21,Nyheim Hines\HineNy00,25,RB,17,4,196,5-9,North Carolina St.,11/12/1996,3,5,Indianapolis Colts / 4th / 104th pick / 2018
35,Deon Jackson\JackDe02,22,RB,9,0,220,6-0,Duke,2/18/1999,Rook,0,
43,Malik Jefferson\JeffMa00,25,OLB,1,0,241,6-2,Texas,11/15/1996,3,0,Cincinnati Bengals / 3rd / 78th pick / 2018
36,Josh Jones\JoneJo06,27,S,6,0,220,6-2,North Carolina St.,9/20/1994,4,0,Green Bay Packers / 2nd / 61st pick / 2017
78,Ryan Kelly\KellRy00,28,C,14,14,307,6-4,Alabama,5/30/1993,5,8,Indianapolis Colts / 1st / 18th pick / 2016
33,Thakarius Keyes\KeyeTh00,24,CB,4,0,202,6-1,Tulane,11/9/1997,1,0,Kansas City Chiefs / 7th / 237th pick / 2020
53,Darius Leonard\LeonDa00,26,LB,16,16,230,6-2,South Carolina St.,7/27/1995,3,15,Indianapolis Colts / 2nd / 36th pick / 2018
94,Tyquan Lewis\LewiTy00,26,DE,8,2,277,6-3,Ohio St.,1/30/1995,3,2,Indianapolis Colts / 2nd / 64th pick / 2018
29,Jordan Lucas\LucaJo00,28,SS,1,0,190,6-1,Penn St.,8/2/1993,5,0,Miami Dolphins / 6th / 204th pick / 2016
25,Marlon Mack\MackMa00,25,RB,6,0,210,6-0,South Florida,3/7/1996,4,1,Indianapolis Colts / 4th / 143rd pick / 2017
23,Kenny Moore\MoorKe03,26,CB,17,16,190,5-9,Valdosta St.,8/23/1995,4,10,
55,Skai Moore\MoorSk00,26,OLB,1,1,225,6-2,South Carolina,1/8/1995,3,0,
97,Al-Quadin Muhammad\MuhaAl00,26,DE,17,17,250,6-4,Miami (FL),3/28/1995,4,7,New Orleans Saints / 6th / 196th pick / 2017
48,Kyle Nelson\NelsKy00,35,TE,1,0,240,6-2,New Mexico St.,10/3/1986,9,0,
56,Quenton Nelson\NelsQu00,25,OG,13,13,330,6-5,Notre Dame,3/19/1996,3,9,Indianapolis Colts / 1st / 6th pick / 2018
54,Dayo Odeyingbo\OdeyDa00,22,DL,10,0,276,6-6,Vanderbilt,9/24/1999,Rook,1,Indianapolis Colts / 2nd / 54th pick / 2021
30,George Odum\OdumGe00,28,S,17,7,202,6-1,Central Arkansas,11/3/1993,3,3,
58,Bobby Okereke\OkerBo00,25,LB,17,17,235,6-1,Stanford,7/29/1996,2,7,Indianapolis Colts / 3rd / 89th pick / 2019
14,Zach Pascal\PascZa00,27,WR,16,13,214,6-2,Old Dominion,12/18/1994,3,4,
10,Dezmon Patmon\PatmDe00,23,WR,8,0,220,6-4,Washington St.,8/6/1998,1,0,Indianapolis Colts / 6th / 212th pick / 2020
51,Kwity Paye\PayeKw00,23,DE,15,15,261,6-2,Michigan,11/19/1998,Rook,7,Indianapolis Colts / 1st / 21st pick / 2021
63,Danny Pinter\PintDa00,25,OL,16,3,306,6-4,Ball St.,6/19/1996,1,2,Indianapolis Colts / 5th / 149th pick / 2020
11,Michael Pittman Jr.\PittMi01,24,WR,17,17,223,6-4,USC,10/5/1997,1,12,Indianapolis Colts / 2nd / 34th pick / 2020
69,Matt Pryor\PryoMa00,27,OT,17,5,332,6-7,TCU,12/16/1994,3,4,Philadelphia Eagles / 6th / 206th pick / 2018
29,Will Redmond\RedmWi00,28,CB,3,0,186,5-11,Mississippi St.,12/28/1993,3,0,San Francisco 49ers / 3rd / 68th pick / 2016
62,Chris Reed\ReedCh00,29,G,14,6,300,6-5,Minnesota St.,7/22/1992,5,3,
46,Luke Rhodes\RhodLu00,29,LB,16,0,238,6-2,William & Mary,12/2/1992,5,0,
27,Xavier Rhodes\RhodXa00,31,CB,13,13,218,6-1,Florida St.,6/19/1990,8,5,Minnesota Vikings / 1st / 25th pick / 2013
91,Isaac Rochell\RochIs00,26,DE,12,0,280,6-3,Notre Dame,4/22/1995,4,1,Los Angeles Chargers / 7th / 225th pick / 2017
34,Isaiah Rodgers\RodgIs00,23,CB,17,1,170,5-10,Massachusetts,1/7/1998,1,2,Indianapolis Colts / 6th / 211th pick / 2020
8,Rigoberto Sanchez\SancRi00,27,P,17,0,195,6-0,Hawaii,9/8/1994,4,2,
42,Andrew Sendejo\SendAn00,34,DB,12,10,210,6-1,Rice,9/9/1987,11,4,
72,Braden Smith\SmitBr06,25,OG,11,11,315,6-6,Auburn,3/25/1996,3,6,Indianapolis Colts / 2nd / 37th pick / 2018
45,E.J. Speed\SpeeEJ00,26,LB,17,1,224,6-3,Tarleton St.,6/1/1995,2,1,Indianapolis Colts / 5th / 164th pick / 2019
95,Taylor Stallworth\StalTa00,26,DT,16,1,305,6-2,South Carolina,8/18/1995,3,2,
90,Grover Stewart\StewGr00,28,DT,17,17,315,6-4,Albany State (GA),10/20/1993,4,7,Indianapolis Colts / 4th / 144th pick / 2017
17,Mike Strachan\StraMi03,24,WR,6,0,224,6-5,Charleston (WV),8/13/1997,Rook,0,Indianapolis Colts / 7th / 229th pick / 2021
28,Jonathan Taylor\TaylJo02,22,RB,17,17,226,5-10,Wisconsin,1/19/1999,1,17,Indianapolis Colts / 2nd / 41st pick / 2020
57,Kemoko Turay\TuraKe00,26,OLB,13,0,248,6-5,Rutgers,7/11/1995,3,1,Indianapolis Colts / 2nd / 52nd pick / 2018
2,Carson Wentz\WentCa00,29,QB,17,17,237,6-5,North Dakota St.,12/30/1992,5,14,Philadelphia Eagles / 1st / 2nd pick / 2016
20,Jordan Wilkins\WilkJo01,27,RB,4,0,216,6-1,Mississippi,7/18/1994,3,0,Indianapolis Colts / 5th / 169th pick / 2018
66,Chris Williams\WillCh08,23,DT,8,0,302,6-2,Wagner,6/16/1998,Rook,1,
37,Khari Willis\WillKh00,25,S,11,10,213,5-11,Michigan St.,5/7/1996,2,4,Indianapolis Colts / 4th / 109th pick / 2019
96,Antwaun Woods\WoodAn02,28,NT,7,0,318,6-1,USC,1/3/1993,5,0,
26,Rock Ya-Sin\Ya-SRo00,25,CB,13,8,190,6-0,Temple,5/23/1996,2,3,Indianapolis Colts / 2nd / 34th pick / 2019
,Team Total,26.2,,17,,239.7,6-2.0,,,3.2,,
