No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
59,Tyrell Adams\AdamTy00,29,LB,2,0,230,6-2,West Georgia,4/11/1992,5,0,
39,Jamal Agnew\AgneJa00,26,WR/CB,10,2,190,5-10,San Diego,4/3/1995,4,3,Detroit Lions / 5th / 165th pick / 2017
53,Dakota Allen\AlleDa01,26,LB,14,1,232,6-1,Texas TechEast Mississippi CC,11/2/1995,2,1,Los Angeles Rams / 7th / 251st pick / 2019
41,Josh Allen\AlleJo03,24,EDGE,16,15,262,6-5,Kentucky,7/13/1997,2,7,Jacksonville Jaguars / 1st / 7th pick / 2019
23,Ryquell Armstead\ArmsRy00,25,RB,2,0,220,5-11,Temple,10/30/1996,2,0,Jacksonville Jaguars / 5th / 140th pick / 2019
85,Dan Arnold\ArnoDa00,26,WR,8,3,240,6-6,Wisconsin–Platteville,3/15/1995,3,2,
7,Tavon Austin\AustTa00,31,WR,13,3,179,5-8,West Virginia,3/15/1990,8,1,St. Louis Rams / 1st / 8th pick / 2013
78,Ben Bartch\BartBe00,23,OL,15,11,309,6-6,Saint John's (MN),7/22/1998,1,3,Jacksonville Jaguars / 4th / 116th pick / 2020
3,C.J. Beathard\BeatC.00,28,QB,2,0,215,6-2,Iowa,11/16/1993,4,0,San Francisco 49ers / 3rd / 104th pick / 2017
13,John Brown\BrowJo02,31,WR,2,0,178,5-11,Pittsburg St.,4/3/1990,7,0,Arizona Cardinals / 3rd / 91st pick / 2014
90,Malcom Brown\BrowMa01,27,DT,17,17,320,6-2,Texas,2/2/1994,6,7,New England Patriots / 1st / 32nd pick / 2015
90,Taven Bryan\BryaTa00,25,DT,15,0,291,6-5,Florida,3/11/1996,3,1,Jacksonville Jaguars / 1st / 29th pick / 2018
32,Tyson Campbell\CampTy01,21,CB,15,14,195,6-1,Georgia,3/17/2000,Rook,5,Jacksonville Jaguars / 2nd / 33rd pick / 2021
60,A.J. Cann\CannA.00,30,OG,4,4,315,6-3,South Carolina,10/23/1991,6,1,Jacksonville Jaguars / 3rd / 67th pick / 2015
45,K'Lavon Chaisson\ChaiKL00,22,LB,15,8,254,6-3,LSU,7/25/1999,1,4,Jacksonville Jaguars / 1st / 20th pick / 2020
17,DJ Chark\CharDJ00,25,WR,4,4,198,6-4,LSU,9/23/1996,3,1,Jacksonville Jaguars / 2nd / 61st pick / 2018
19,Joseph Charlton\CharJo01,24,P,1,0,190,6-5,South Carolina,4/7/1997,1,0,
38,Andre Cisco\CiscAn00,21,S,17,3,209,6-0,Syracuse,3/23/2000,Rook,2,Jacksonville Jaguars / 3rd / 65th pick / 2021
27,Chris Claybrooks\ClayCh02,24,CB,16,2,179,5-9,Memphis,7/17/1997,1,2,Jacksonville Jaguars / 7th / 223rd pick / 2020
9,Logan Cooke\CookLo00,26,P,15,0,230,6-5,Mississippi St.,7/28/1995,3,3,Jacksonville Jaguars / 7th / 247th pick / 2018
58,Doug Costin\CostDo00,24,DT,1,0,295,6-2,Miami (OH),10/5/1997,1,0,
88,Jeff Cotton\CottJe00,24,WR,1,0,204,6-2,Idaho,4/17/1997,Rook,0,
31,Nathan Cottrell\CottNa00,25,RB,4,0,193,5-11,Georgia Tech,8/2/1996,1,0,
13,Phillip Dorsett\DorsPh00,28,WR,1,0,192,5-10,Miami (FL),1/5/1993,6,0,Indianapolis Colts / 1st / 29th pick / 2015
89,Luke Farrell\FarrLu00,24,TE,15,4,258,6-5,Ohio St.,10/14/1997,Rook,0,Jacksonville Jaguars / 5th / 145th pick / 2021
5,Rudy Ford\FordRu00,27,FS,15,4,204,6-0,Auburn,11/1/1994,4,2,Arizona Cardinals / 6th / 208th pick / 2017
96,Adam Gotsis\GotsAd00,29,DT,16,4,287,6-4,Georgia Tech,9/23/1992,5,3,Denver Broncos / 2nd / 63rd pick / 2016
26,Shaquill Griffin\GrifSh00,26,DB,14,14,198,6-0,Central Florida,7/20/1995,4,4,Seattle Seahawks / 3rd / 90th pick / 2017
52,DaVon Hamilton\HamiDa02,24,DL,16,8,320,6-4,Ohio St.,2/1/1997,1,4,Jacksonville Jaguars / 3rd / 73rd pick / 2020
81,Josh Hammond\HammJo00,23,WR,2,0,194,6-0,Florida,7/24/1998,Rook,0,
