No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
73,Nick Allegretti\AlleNi00,25,G,17,0,315,6-4,Illinois,4/21/1996,2,1,Kansas City Chiefs / 7th / 216th pick / 2019
39,Zayne Anderson\AndeZa02,24,DB,4,0,205,6-2,BYU,1/3/1997,Rook,0,
30,Deandre Baker\BakeDe00,24,CB,8,1,186,5-11,Georgia,9/4/1997,2,1,New York Giants / 1st / 30th pick / 2019
81,Blake Bell\BellBl00,30,TE,16,5,260,6-6,Oklahoma,8/7/1991,6,1,San Francisco 49ers / 4th / 117th pick / 2015
66,Austin Blythe\BlytAu00,29,C,4,0,280,6-2,Iowa,6/16/1992,5,0,Indianapolis Colts / 7th / 248th pick / 2016
54,Nick Bolton\BoltNi00,21,LB,16,12,237,6-0,Missouri,3/10/2000,Rook,6,Kansas City Chiefs / 2nd / 58th pick / 2021
2,Dicaprio Bootle\BootDi00,24,CB,3,0,195,5-10,Nebraska,9/17/1997,Rook,0,
79,Cortez Broughton\BrouCo00,25,DL,1,0,293,6-2,Cincinnati,9/2/1996,2,0,Los Angeles Chargers / 7th / 242nd pick / 2019
57,Orlando Brown Jr.\BrowOr00,25,OT,16,16,363,6-8,Oklahoma,5/2/1996,3,13,Baltimore Ravens / 3rd / 83rd pick / 2018
45,Michael Burton\BurtMi00,29,FB,16,0,243,6-0,Rutgers,2/1/1992,6,0,Detroit Lions / 5th / 168th pick / 2015
7,Harrison Butker\ButkHa00,26,K,16,0,196,6-4,Georgia Tech,7/14/1995,4,4,Carolina Panthers / 7th / 233rd pick / 2017
55,Frank Clark\ClarFr01,28,DE,14,14,261,6-3,Michigan,6/14/1993,6,9,Seattle Seahawks / 2nd / 63rd pick / 2015
51,Michael Danna\DannMi00,24,DE,17,6,255,6-2,Central MichiganMichigan,12/4/1997,1,3,Kansas City Chiefs / 5th / 177th pick / 2020
60,Austin Edwards\EdwaAu00,24,DE,2,0,280,6-5,Ferris St.,8/27/1997,1,0,
25,Clyde Edwards-Helaire\EdwaCl00,22,RB,10,10,209,5-8,LSU,4/11/1999,1,5,Kansas City Chiefs / 1st / 32nd pick / 2020
27,Rashad Fenton\FentRa00,24,CB,14,8,188,5-11,South Carolina,2/17/1997,2,3,Kansas City Chiefs / 6th / 201st pick / 2019
88,Joe Fortson\FortJo01,26,WR,6,0,230,6-6,Valdosta St.,12/7/1995,Rook,0,
82,Daurice Fountain\FounDa00,26,WR,2,0,210,6-2,Northern Iowa,12/22/1995,3,0,Indianapolis Colts / 5th / 159th pick / 2018
,Elliott Fry\FryxEl01,27,K,1,0,170,6-0,South Carolina,12/12/1994,1,0,
50,Willie Gay Jr.\GayJWi00,23,LB,12,11,235,6-2,Mississippi St.,2/15/1998,1,5,Kansas City Chiefs / 2nd / 63rd pick / 2020
19,Josh Gordon\GordJo02,30,WR,12,7,225,6-3,UtahBaylor,4/13/1991,9,0,Cleveland Browns / 2nd / 1st pick / 2012 Supp
40,Derrick Gore\GoreDe00,27,RB,11,0,212,5-10,AlabamaLa-Monroe,12/13/1994,Rook,3,
83,Noah Gray\GrayNo00,22,TE,16,1,240,6-4,Duke,4/30/1999,Rook,0,Kansas City Chiefs / 5th / 162nd pick / 2021
48,Nakia Griffin-Stewart\GrifNa00,25,TE,2,0,260,6-5,Pittsburgh,11/12/1996,Rook,0,
17,Mecole Hardman\HardMe00,23,WR,17,8,187,5-10,Georgia,3/12/1998,2,7,Kansas City Chiefs / 2nd / 56th pick / 2019
47,Darius Harris\HarrDa07,25,LB,7,0,238,6-2,Middle Tenn. St.,1/17/1996,1,0,
96,Demone Harris\HarrDe06,26,DE,2,0,272,6-4,Buffalo,12/30/1995,3,0,
4,Chad Henne\HennCh01,36,QB,4,0,215,6-3,Michigan,7/2/1985,13,0,Miami Dolphins / 2nd / 57th pick / 2008
10,Tyreek Hill\HillTy00,27,WR,17,16,185,5-10,West Alabama,3/1/1994,5,12,Kansas City Chiefs / 5th / 165th pick / 2016
53,Anthony Hitchens\HitcAn00,29,OLB,15,15,231,6-0,Iowa,6/10/1992,7,6,Dallas Cowboys / 4th / 119th pick / 2014
21,Mike Hughes\HughMi00,24,CB,17,5,186,5-10,North CarolinaCentral Florida,2/11/1997,3,3,Minnesota Vikings / 1st / 30th pick / 2018
52,Creed Humphrey\HumpCr00,22,OL,17,17,309,6-5,Oklahoma,6/28/1999,Rook,9,Kansas City Chiefs / 2nd / 63rd pick / 2021
24,Melvin Ingram\IngrMe00,32,DE,9,6,247,6-2,South Carolina,4/26/1989,9,3,San Diego Chargers / 1st / 18th pick / 2012
20,Josh Jackson\JackJo01,25,CB,2,0,196,6-0,Iowa,4/3/1996,3,0,Green Bay Packers / 2nd / 45th pick / 2018
95,Chris Jones\JoneCh09,27,DT,14,14,298,6-6,Mississippi St.,7/3/1994,5,12,Kansas City Chiefs / 2nd / 37th pick / 2016
59,Joshua Kaindoh\KainJo00,23,DE,3,0,262,6-5,Florida St.,12/27/1998,Rook,0,Kansas City Chiefs / 4th / 144th pick / 2021
87,Travis Kelce\KelcTr00,32,TE,16,16,256,6-5,Cincinnati,10/5/1989,8,11,Kansas City Chiefs / 3rd / 63rd pick / 2013
