No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
24,Johnathan Abram\AbraJo01,25,S,14,14,205,6-0,Mississippi St.,10/25/1996,2,4,Oakland Raiders / 1st / 27th pick / 2019
20,Damon Arnette\ArneDa00,25,CB,4,0,195,6-0,Ohio St.,9/2/1996,1,0,Las Vegas Raiders / 1st / 19th pick / 2020
88,Marcell Ateman\AtemMa00,27,WR,1,0,215,6-4,Oklahoma St.,9/16/1994,3,0,Oakland Raiders / 7th / 228th pick / 2018
31,Peyton Barber\BarbPe01,27,RB,10,1,225,5-11,Auburn,6/27/1994,5,2,
78,Jackson Barton\BartJa00,26,OL,2,0,302,6-7,Utah,8/8/1995,Rook,0,Indianapolis Colts / 7th / 240th pick / 2019
82,Nick Bowers\BoweNi00,25,TE,5,0,265,6-4,Penn St.,5/26/1996,Rook,0,
84,Matt Bushman\BushMa00,26,TE,2,0,240,6-5,BYU,11/3/1995,Rook,0,
2,Daniel Carlson\CarlDa00,26,K,17,0,215,6-5,Auburn,1/23/1995,3,5,Minnesota Vikings / 5th / 167th pick / 2018
4,Derek Carr\CarrDe02,30,QB,17,17,210,6-3,Fresno St.,3/28/1991,7,12,Oakland Raiders / 2nd / 36th pick / 2014
85,Derek Carrier\CarrDe00,31,TE,5,1,240,6-3,Beloit,7/25/1990,9,0,
26,Ha Ha Clinton-Dix\ClinHa00,29,FS,2,0,211,6-1,Alabama,12/21/1992,7,0,Green Bay Packers / 1st / 21st pick / 2014
6,AJ Cole III\ColeAJ01,26,P,17,0,220,6-4,North Carolina St.,11/27/1995,2,4,
57,William Compton\CompWi00,32,MLB,2,0,235,6-1,Nebraska,9/19/1989,8,0,
67,Lester Cotton\CottLe00,25,G,4,0,335,6-4,Alabama,2/20/1996,2,0,
98,Maxx Crosby\CrosMa00,24,EDGE,17,17,255,6-5,East. Michigan,8/22/1997,2,13,Oakland Raiders / 4th / 106th pick / 2019
5,Divine Deablo\DeabDi00,23,LB,17,5,226,6-3,Virginia Tech,8/17/1998,Rook,5,Las Vegas Raiders / 3rd / 80th pick / 2021
23,Kenyan Drake\DrakKe00,27,RB,12,2,211,6-1,Alabama,1/26/1994,5,4,Miami Dolphins / 3rd / 73rd pick / 2016
