No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
26,Salvon Ahmed\AhmeSa01,23,RB,12,0,197,5-11,Washington,12/29/1998,1,2,
55,Jerome Baker\BakeJe00,25,OLB,16,16,225,6-2,Ohio St.,12/25/1996,3,9,Miami Dolphins / 3rd / 73rd pick / 2018
47,Vince Biegel\BiegVi00,28,OLB,5,0,246,6-3,Wisconsin,7/22/1993,4,0,Green Bay Packers / 4th / 108th pick / 2017
14,Jacoby Brissett\BrisJa00,29,QB,11,5,235,6-4,FloridaNorth Carolina St.,12/11/1992,5,2,New England Patriots / 3rd / 91st pick / 2016
34,Malcolm Brown\BrowMa03,28,RB,7,3,225,5-11,Texas,5/15/1993,6,1,
70,Adam Butler\ButlAd00,27,DT,17,1,295,6-5,Vanderbilt,4/12/1994,4,2,
22,Elijah Campbell\CampEl00,26,DB,7,0,190,5-11,Northern IllinoisNorthern Iowa,8/24/1995,1,0,
82,Cethan Carter\CartCe00,26,TE,16,1,248,6-3,Nebraska,9/5/1995,4,0,
27,Justin Coleman\ColeJu01,28,CB,16,4,190,5-11,Tennessee,3/27/1993,6,2,
38,Javaris Davis\DaviJa10,25,DB,1,0,186,5-10,Auburn,12/26/1996,Rook,0,
77,Jesse Davis\DaviJe00,30,T,17,16,318,6-6,Idaho,9/15/1991,4,7,
98,Raekwon Davis\DaviRa03,24,DL,14,14,330,6-7,Alabama,6/10/1997,1,7,Miami Dolphins / 2nd / 56th pick / 2020
63,Michael Deiter\DeitMi00,25,OL,8,8,315,6-6,Wisconsin,9/3/1996,2,3,Miami Dolphins / 3rd / 78th pick / 2019
49,Samuel Eguavoen\EguaSa00,28,LB,17,0,236,6-1,Texas Tech,2/22/1993,2,2,
74,Liam Eichenberg\EichLi00,23,T,17,16,310,6-5,Notre Dame,1/19/1998,Rook,7,Miami Dolphins / 2nd / 42nd pick / 2021
42,Clayton Fejedelem\FejeCl00,28,FS,17,0,205,6-1,Illinois,6/2/1993,5,1,Cincinnati Bengals / 7th / 245th pick / 2016
44,Blake Ferguson\FergBl00,24,LS,17,0,237,6-3,LSU,4/21/1997,1,1,Miami Dolphins / 6th / 185th pick / 2020
87,Isaiah Ford\FordIs00,25,WR,13,2,194,6-2,Virginia Tech,2/9/1996,3,1,Miami Dolphins / 7th / 237th pick / 2017
3,Will Fuller\FullWi01,27,WR,2,0,184,6-1,Notre Dame,4/16/1994,5,0,Houston Texans / 1st / 21st pick / 2016
37,Myles Gaskin\GaskMy00,24,RB,17,10,194,5-10,Washington,2/15/1997,2,5,Miami Dolphins / 7th / 234th pick / 2019
88,Mike Gesicki\GesiMi00,26,TE,17,9,247,6-6,Penn St.,10/3/1995,3,6,Miami Dolphins / 2nd / 42nd pick / 2018
19,Jakeem Grant\GranJa00,29,WR,4,0,171,5-7,Texas Tech,10/30/1992,5,0,Miami Dolphins / 6th / 186th pick / 2016
22,Jevon Holland\HollJe02,21,S,16,13,196,6-1,Oregon,3/3/2000,Rook,6,Miami Dolphins / 2nd / 36th pick / 2021
86,Mack Hollins\HollMa00,28,WR,17,3,221,6-4,North Carolina,9/16/1993,4,2,Philadelphia Eagles / 4th / 118th pick / 2017
25,Xavien Howard\HowaXa00,28,CB,16,16,203,6-1,Baylor,7/4/1993,5,11,Miami Dolphins / 2nd / 38th pick / 2016
68,Robert Hunt\HuntRo01,25,OL,17,17,327,6-6,Louisiana,8/25/1996,1,6,Miami Dolphins / 2nd / 39th pick / 2020
9,Noah Igbinoghene\IgbiNo00,22,CB,7,1,197,5-11,Auburn,11/27/1999,1,1,Miami Dolphins / 1st / 30th pick / 2020
73,Austin Jackson\JackAu00,22,OL,17,16,325,6-5,USC,8/11/1999,1,7,Miami Dolphins / 1st / 18th pick / 2020
90,John Jenkins\JenkJo00,32,DT,7,2,335,6-3,Georgia,7/11/1989,8,1,New Orleans Saints / 3rd / 82nd pick / 2013
28,Duke Johnson\JohnDu00,28,RB,5,4,210,5-9,Miami (FL),9/23/1993,6,2,Cleveland Browns / 3rd / 77th pick / 2015
29,Brandon Jones\JoneBr06,23,S,15,13,191,6-1,Texas,4/2/1998,1,5,Miami Dolphins / 3rd / 70th pick / 2020
24,Byron Jones\JoneBy00,29,CB,16,16,194,6-1,Connecticut,9/26/1992,6,5,Dallas Cowboys / 1st / 27th pick / 2015
65,Robert Jones\JoneRo02,22,G,8,1,322,6-4,Highland (KS)Middle Tenn. St.,1/28/1999,Rook,1,
66,Solomon Kindley\KindSo00,24,OL,16,2,335,6-4,Georgia,7/3/1997,1,1,Miami Dolphins / 4th / 111th pick / 2020
32,Patrick Laird\LairPa00,26,RB,6,0,205,6-0,California,8/17/1995,2,0,
85,Tommylee Lewis\LewiTo00,29,WR,2,0,168,5-7,Northern Illinois,10/24/1992,5,0,
31,Phillip Lindsay\LindPh00,27,RB,4,0,190,5-8,Colorado,7/24/1994,3,1,
84,Hunter Long\LongHu00,23,TE,7,2,253,6-5,Boston Col.,8/19/1998,Rook,0,Miami Dolphins / 3rd / 81st pick / 2021
62,Greg Mancz\MancGr00,29,C,5,4,302,6-4,Toledo,4/23/1992,6,1,
30,Jason McCourty\McCoJa99,34,DB,7,4,195,5-11,Rutgers,8/13/1987,12,2,Tennessee Titans / 6th / 203rd pick / 2009
83,Kirk Merritt\MerrKi00,24,WR,2,0,210,6-0,Arkansas St.,1/5/1997,1,0,
35,Christopher Milton\MiltCh00,29,CB,1,0,190,5-11,Georgia Tech,9/15/1992,5,0,
50,Calvin Munson\MunsCa00,27,OLB,4,0,243,6-0,San Diego St.,12/27/1994,4,0,
40,Nik Needham\NeedNi00,25,DB,17,5,196,6-1,Texas-El Paso,11/4/1996,2,3,
91,Emmanuel Ogbah\OgbaEm00,28,DE,17,11,275,6-4,Oklahoma St.,11/6/1993,5,7,Cleveland Browns / 2nd / 32nd pick / 2016
5,Michael Palardy\PalaMi00,29,P,17,0,200,5-11,Tennessee,7/6/1992,7,2,
78,Adam Pankey\PankAd00,27,OG,1,0,313,6-5,West Virginia,2/2/1994,4,0,
11,DeVante Parker\ParkDe01,28,WR,10,8,219,6-3,Louisville,1/20/1993,6,4,Miami Dolphins / 1st / 14th pick / 2015
36,Will Parks\ParkWi01,27,S,1,0,194,6-1,Arizona,7/29/1994,5,0,Denver Broncos / 6th / 219th pick / 2016
33,Jamal Perry\WiltJo01,27,CB,4,0,182,5-10,Iowa St.,10/23/1994,2,0,
15,Jaelan Phillips\PhilJa02,22,LB,17,5,266,6-5,UCLAMiami (FL),5/28/1999,Rook,5,Miami Dolphins / 1st / 18th pick / 2021
20,Sheldrick Redwine\RedwSh00,25,S,4,0,196,6-0,Miami (FL),11/6/1996,2,0,Cleveland Browns / 4th / 119th pick / 2019
61,Austin Reiter\ReitAu00,30,C,6,5,300,6-3,South Florida,11/27/1991,5,2,Washington Redskins / 7th / 222nd pick / 2015
45,Duke Riley\RileDu00,27,OLB,16,3,230,6-1,LSU,8/9/1994,4,3,Atlanta Falcons / 3rd / 75th pick / 2017
