No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
31,Ameer Abdullah\AbduAm00,28,RB,6,0,196,5-9,Nebraska,6/13/1993,6,0,Detroit Lions / 2nd / 54th pick / 2015
24,Mackensie Alexander\AlexMa01,28,CB,16,5,192,5-10,Clemson,11/12/1993,5,2,Minnesota Vikings / 2nd / 54th pick / 2016
34,Jake Bargas\BargJa00,25,RB,1,0,250,6-2,North Carolina,11/28/1996,1,0,
55,Anthony Barr\BarrAn00,29,OLB,11,11,257,6-5,UCLA,3/18/1992,7,6,Minnesota Vikings / 1st / 9th pick / 2014
3,Jordan Berry\BerrJo00,30,P,17,0,195,6-5,East. Kentucky,3/18/1991,6,3,
47,Tuf Borland\BorlTu00,23,LB,2,0,234,6-1,Ohio St.,3/23/1998,Rook,0,
73,Tashawn Bower\BoweTa00,26,OLB,4,0,250,6-5,LSU,2/18/1995,4,0,
29,Kris Boyd\BoydKr00,25,CB,15,1,195,5-11,Texas,9/12/1996,2,2,Minnesota Vikings / 7th / 217th pick / 2019
56,Garrett Bradbury\BradGa00,26,OL,13,13,300,6-3,North Carolina St.,6/20/1995,2,5,Minnesota Vikings / 1st / 18th pick / 2019
64,Blake Brandel\BranBl00,24,T,13,0,315,6-7,Oregon St.,1/23/1997,Rook,1,Minnesota Vikings / 6th / 203rd pick / 2020
21,Bashaud Breeland\BreeBa00,29,CB,13,13,195,5-11,Clemson,1/30/1992,7,5,Washington Redskins / 4th / 102nd pick / 2014
43,Camryn Bynum\BynuCa00,23,S,14,3,200,6-0,California,7/19/1998,Rook,2,Minnesota Vikings / 4th / 125th pick / 2021
85,Dan Chisena\ChisDa00,24,WR,11,0,202,6-3,Penn St.,2/25/1997,1,0,
72,Ezra Cleveland\ClevEz00,23,OL,17,17,312,6-6,Boise St.,5/8/1998,1,6,Minnesota Vikings / 2nd / 58th pick / 2020
52,Mason Cole\ColeMa02,25,C,14,7,298,6-5,Michigan,3/28/1996,3,3,Arizona Cardinals / 3rd / 97th pick / 2018
83,Tyler Conklin\ConkTy00,26,TE,17,15,248,6-3,Central Michigan,7/30/1995,3,5,Minnesota Vikings / 5th / 157th pick / 2018
57,Ryan Connelly\ConnRy00,26,LB,12,0,234,6-2,Wisconsin,10/23/1995,2,1,New York Giants / 5th / 143rd pick / 2019
33,Dalvin Cook\CookDa01,26,RB,13,13,210,5-10,Florida St.,8/10/1995,4,9,Minnesota Vikings / 2nd / 41st pick / 2017
8,Kirk Cousins\CousKi00,33,QB,16,16,205,6-3,Michigan St.,8/19/1988,9,13,Washington Redskins / 4th / 102nd pick / 2012
