No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
15,Nelson Agholor\AghoNe00,28,WR,15,13,198,6-0,USC,5/24/1993,6,5,Philadelphia Eagles / 1st / 20th pick / 2015
94,Henry Anderson\AndeHe00,30,DE,4,0,300,6-6,Stanford,8/3/1991,6,0,Indianapolis Colts / 3rd / 93rd pick / 2015
60,David Andrews\AndrDa00,29,C,17,17,300,6-3,Georgia,7/10/1992,6,8,
86,Devin Asiasi\AsiaDe00,24,TE,1,0,257,6-3,MichiganUCLA,8/14/1997,1,0,New England Patriots / 3rd / 91st pick / 2020
7,Jake Bailey\BailJa00,24,P,17,0,205,6-2,Stanford,6/18/1997,2,1,New England Patriots / 5th / 163rd pick / 2019
70,Christian Barmore\BarmCh00,22,DT,17,2,310,6-4,Alabama,7/28/1999,Rook,3,New England Patriots / 2nd / 38th pick / 2021
8,Ja'Whaun Bentley\BentJa00,25,ILB,16,16,255,6-2,Purdue,8/24/1996,3,9,New England Patriots / 5th / 143rd pick / 2018
29,Justin Bethel\BethJu00,31,CB,17,0,200,6-0,Presbyterian,6/17/1990,9,1,Arizona Cardinals / 6th / 177th pick / 2012
25,Brandon Bolden\BoldBr00,31,RB,17,1,220,5-11,Mississippi,1/26/1990,9,6,
84,Kendrick Bourne\BourKe00,26,WR,17,5,203,6-1,East. Washington,8/4/1995,4,9,
96,Tashawn Bower\BoweTa00,26,OLB,2,0,250,6-5,LSU,2/18/1995,4,0,
77,Trent Brown\BrowTr02,28,OT,9,9,380,6-8,Georgia MilitaryFlorida,4/13/1993,6,5,San Francisco 49ers / 7th / 244th pick / 2015
41,Myles Bryant\BryaMy01,23,DB,12,2,180,5-8,Washington,1/2/1998,1,2,
72,Yodny Cajuste\CajuYo00,25,OL,7,2,310,6-5,West Virginia,2/21/1996,Rook,2,New England Patriots / 3rd / 101st pick / 2019
49,Joe Cardona\CardJo00,29,LS,17,0,245,6-3,Navy,4/16/1992,6,1,New England Patriots / 5th / 166th pick / 2015
58,Jamie Collins\CollJa00,32,OLB,10,2,255,6-3,Southern Miss,10/20/1989,8,2,New England Patriots / 2nd / 52nd pick / 2013
98,Carl Davis\DaviCa01,29,DT,17,4,320,6-5,Iowa,3/2/1992,6,3,Baltimore Ravens / 3rd / 90th pick / 2015
22,Cody Davis\DaviCo02,32,S,17,0,203,6-2,Texas Tech,6/6/1989,8,1,
30,Sean Davis\DaviSe00,28,FS,2,0,202,6-1,Maryland,10/23/1993,5,0,Pittsburgh Steelers / 2nd / 58th pick / 2016
23,Kyle Dugger\DuggKy00,25,S,15,13,220,6-2,Lenoir-Rhyne,3/22/1996,1,6,New England Patriots / 2nd / 37th pick / 2020
