No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
15,Alex Bachman\BachAl00,25,WR,3,0,190,6-0,,5/29/1996,1,0,
26,Saquon Barkley\BarkSa00,24,RB,13,13,233,5-11,Penn St.,2/9/1997,3,5,New York Giants / 1st / 2nd pick / 2018
34,Sam Beal\BealSa00,25,CB,3,0,177,6-1,Western Michigan,8/30/1996,2,0,New York Giants / 3rd / 1st pick / 2018 Supp
18,C.J. Board\BoarC.00,28,WR,6,1,181,6-1,Chattanooga,12/12/1993,3,0,
28,Devontae Booker\BookDe00,29,RB,16,4,219,5-11,Utah,5/27/1992,5,5,Denver Broncos / 4th / 136th pick / 2016
24,James Bradberry\BradJa00,28,CB,17,16,212,6-1,SamfordArkansas St.,8/4/1993,5,7,Carolina Panthers / 2nd / 62nd pick / 2016
68,Ben Bredeson\BredBe00,23,OL,8,1,315,6-5,Michigan,2/20/1998,1,1,Baltimore Ravens / 4th / 143rd pick / 2020
37,Gary Brightwell\BrigGa00,22,RB,13,0,215,5-11,Arizona,2/28/1999,Rook,0,New York Giants / 6th / 196th pick / 2021
47,Cam Brown\BrowCa01,23,LB,12,0,233,6-5,Penn St.,4/1/1998,1,1,New York Giants / 6th / 183rd pick / 2020
59,Lorenzo Carter\CartLo01,26,DE,14,14,255,6-5,Georgia,12/10/1995,3,8,New York Giants / 3rd / 66th pick / 2018
83,Pharoh Cooper\CoopPh00,26,WR,8,0,208,5-11,South Carolina,3/7/1995,5,0,Los Angeles Rams / 4th / 117th pick / 2016
49,Carter Coughlin\CougCa00,24,LB,7,0,236,6-3,Minnesota,7/21/1997,1,1,New York Giants / 7th / 218th pick / 2020
31,Keion Crossen\CrosKe00,25,CB,16,0,185,5-10,Western Carolina,4/17/1996,3,1,New England Patriots / 7th / 243rd pick / 2018
48,Tae Crowder\CrowTa00,24,,17,17,235,6-3,Georgia,3/12/1997,1,9,New York Giants / 7th / 255th pick / 2020
79,Korey Cunningham\CunnKo00,26,OT,12,0,305,6-6,Cincinnati,5/17/1995,3,1,Arizona Cardinals / 7th / 254th pick / 2018
35,Darqueze Dennard\DennDa00,30,CB,1,0,205,5-11,Michigan St.,10/10/1991,7,0,Cincinnati Bengals / 1st / 24th pick / 2014
9,Riley Dixon\DixoRi00,28,P,17,0,221,6-4,Syracuse,8/24/1993,5,2,Denver Broncos / 7th / 228th pick / 2016
43,Nate Ebner\EbneNa00,33,DB,6,0,215,6-0,Ohio St.,12/14/1988,9,0,New England Patriots / 6th / 197th pick / 2012
88,Evan Engram\EngrEv00,27,TE,15,12,240,6-3,Mississippi,9/2/1994,4,3,New York Giants / 1st / 23rd pick / 2017
17,Jake Fromm\FromJa00,23,QB,3,2,219,6-2,Georgia,7/30/1998,Rook,1,Buffalo Bills / 5th / 167th pick / 2020
5,Graham Gano\GanoGr44,34,K,17,0,202,6-2,Florida St.,4/9/1987,12,4,
65,Nick Gates\GateNi00,26,OT,2,2,307,6-5,Nebraska,11/27/1995,3,1,
36,Cullen Gillaspia\GillCu00,26,RB,15,0,235,6-2,Texas A&M,5/12/1995,2,0,Houston Texans / 7th / 220th pick / 2019
2,Mike Glennon\GlenMi00,32,QB,6,4,225,6-7,North Carolina St.,12/12/1989,8,-5,Tampa Bay Buccaneers / 3rd / 73rd pick / 2013
19,Kenny Golladay\GollKe00,28,WR,14,14,213,6-4,Northern Illinois,11/3/1993,4,4,Detroit Lions / 3rd / 96th pick / 2017
,Woodrow Hamilton\HamiWo00,29,DL,1,1,315,6-3,Mississippi,12/20/1992,5,0,
93,Trent Harris\HarrTr01,26,DL,4,0,255,6-2,Miami (FL),9/17/1995,2,0,
71,Will Hernandez\HernWi00,26,OG,17,17,327,6-2,Texas-El Paso,9/2/1995,3,5,New York Giants / 2nd / 34th pick / 2018
46,Justin Hilliard\HillJu01,24,LB,2,0,231,6-1,Ohio St.,3/25/1997,Rook,0,
30,Darnay Holmes\HolmDa01,23,CB,11,4,195,5-10,UCLA,6/23/1998,1,2,New York Giants / 4th / 110th pick / 2020
22,Adoree' Jackson\JackAd00,26,CB,13,12,185,5-11,USC,9/18/1995,4,4,Tennessee Titans / 1st / 18th pick / 2017
98,Austin Johnson\JohnAu01,27,DT,17,17,314,6-4,Penn St.,5/8/1994,5,8,Tennessee Titans / 2nd / 43rd pick / 2016
15,Collin Johnson\JohnCo01,24,WR,12,1,222,6-6,Texas,9/23/1997,1,1,Jacksonville Jaguars / 5th / 165th pick / 2020
