No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
57,Montravius Adams\AdamMo00,26,DT,5,4,304,6-3,Auburn,7/24/1995,4,2,Green Bay Packers / 3rd / 93rd pick / 2017
27,Marcus Allen\AlleMa03,25,S,16,1,215,6-2,Penn St.,8/7/1996,3,1,Pittsburgh Steelers / 5th / 148th pick / 2018
94,Tyson Alualu\AluaTy99,34,DT,2,2,304,6-3,California,5/12/1987,11,1,Jacksonville Jaguars / 1st / 10th pick / 2010
61,Daniel Archibong\ArchDa01,24,,2,0,300,6-6,Temple,9/12/1997,Rook,0,
29,Kalen Ballage\BallKa00,26,RB,17,0,231,6-2,Arizona St.,12/22/1995,3,0,Miami Dolphins / 4th / 131st pick / 2018
72,Zach Banner\BannZa00,28,OG,7,0,358,6-8,USC,12/25/1993,4,0,Indianapolis Colts / 4th / 137th pick / 2017
9,Chris Boswell\BoswCh00,30,K,17,0,185,6-2,Rice,3/16/1991,6,5,
96,Isaiah Buggs\BuggIs00,25,DL,10,6,295,6-3,Alabama,8/24/1996,2,3,Pittsburgh Steelers / 6th / 192nd pick / 2019
55,Devin Bush Jr.\BushDe01,23,LB,14,14,234,5-11,Michigan,7/18/1998,2,6,Pittsburgh Steelers / 1st / 10th pick / 2019
98,Taco Charlton\CharTa00,27,DE,11,1,270,6-6,Michigan,11/7/1994,4,1,Dallas Cowboys / 1st / 28th pick / 2017
11,Chase Claypool\ClayCh01,23,WR,15,13,238,6-4,Notre Dame,7/7/1998,1,7,Pittsburgh Steelers / 2nd / 49th pick / 2020
79,Rashaad Coward\CowaRa00,27,DT,4,0,319,6-5,Old Dominion,11/6/1994,4,0,
73,Carlos Davis\DaviCa03,25,DL,4,0,320,6-2,Nebraska,8/22/1996,1,0,Pittsburgh Steelers / 7th / 232nd pick / 2020
69,Kevin Dotson\DotsKe00,25,OL,9,9,321,6-4,Louisiana,9/18/1996,1,3,Pittsburgh Steelers / 4th / 135th pick / 2020
85,Eric Ebron\EbroEr00,28,TE,8,3,253,6-4,North Carolina,4/10/1993,7,1,Detroit Lions / 1st / 10th pick / 2014
34,Terrell Edmunds\EdmuTe00,24,S,17,17,217,6-1,Virginia Tech,1/20/1997,3,6,Pittsburgh Steelers / 1st / 28th pick / 2018
33,Trey Edmunds\EdmuTr00,27,RB,2,0,223,6-2,Maryland,12/30/1994,4,0,
67,B.J. Finney\FinnB.01,30,C,7,2,318,6-4,Kansas St.,10/26/1991,5,1,
39,Minkah Fitzpatrick\FitzMi00,25,FS,16,16,207,6-1,Alabama,11/17/1996,3,6,Miami Dolphins / 1st / 11th pick / 2018
88,Pat Freiermuth\FreiPa00,23,TE,16,9,258,6-5,Penn St.,10/25/1998,Rook,4,Pittsburgh Steelers / 2nd / 55th pick / 2021
81,Zach Gentry\GentZa00,25,TE,17,12,265,6-8,Michigan,9/10/1996,2,1,Pittsburgh Steelers / 5th / 141st pick / 2019
54,Ulysees Gilbert\GilbUl00,24,LB,17,0,230,6-0,Akron,8/9/1997,2,1,Pittsburgh Steelers / 6th / 207th pick / 2019
74,Chaz Green\GreeCh02,29,OT,2,0,318,6-5,Florida,4/8/1992,5,0,Dallas Cowboys / 3rd / 91st pick / 2015
53,Kendrick Green\GreeKe02,23,C,15,15,315,6-4,Illinois,12/22/1998,Rook,5,Pittsburgh Steelers / 3rd / 87th pick / 2021
23,Joe Haden\HadeJo99,32,DB,12,11,195,5-11,Florida,4/14/1989,11,4,Cleveland Browns / 1st / 7th pick / 2010
71,Joe Haeg\HaegJo00,28,OT,12,2,298,6-6,North Dakota St.,3/11/1993,5,1,Indianapolis Colts / 5th / 155th pick / 2016
22,Najee Harris\HarrNa00,23,RB,17,17,232,6-1,Alabama,3/9/1998,Rook,10,Pittsburgh Steelers / 1st / 24th pick / 2021
6,Pressley Harvin III\HarvPr00,23,P,15,0,255,6-0,Georgia Tech,9/17/1998,Rook,1,Pittsburgh Steelers / 7th / 254th pick / 2021
60,J.C. Hassenauer\HassJ.00,26,C,13,3,295,6-2,Alabama,9/15/1995,1,2,
97,Cameron Heyward\HeywCa01,32,DT,17,17,295,6-5,Ohio St.,5/6/1989,10,16,Pittsburgh Steelers / 1st / 31st pick / 2011
56,Alex Highsmith\HighAl02,24,DL,16,16,242,6-4,Charlotte,8/7/1997,1,7,Pittsburgh Steelers / 3rd / 102nd pick / 2020
8,Melvin Ingram\IngrMe00,32,DE,6,1,247,6-2,South Carolina,4/26/1989,9,1,San Diego Chargers / 1st / 18th pick / 2012
45,Buddy Johnson\JohnBu01,22,LB,4,0,240,6-2,Texas A&M,2/27/1999,Rook,0,Pittsburgh Steelers / 4th / 140th pick / 2021
18,Diontae Johnson\JohnDi01,25,WR,16,14,183,5-10,Toledo,7/5/1996,2,9,Pittsburgh Steelers / 3rd / 66th pick / 2019
40,Jamir Jones\JoneJa11,23,OLB,3,1,255,6-3,Notre Dame,6/14/1998,Rook,1,
30,Karl Joseph\JoseKa00,28,SS,2,0,200,5-10,West Virginia,9/8/1993,5,0,Oakland Raiders / 1st / 14th pick / 2016
28,Miles Killebrew\KillMi00,28,SS,17,0,222,6-2,Southern Utah,5/10/1993,5,2,Detroit Lions / 4th / 111th pick / 2016
46,Christian Kuntz\KuntCh02,27,LB,17,0,228,6-1,Duquesne,4/13/1994,Rook,1,
31,Justin Layne\LaynJu00,23,CB,17,0,192,6-2,Michigan St.,1/12/1998,2,1,Pittsburgh Steelers / 3rd / 83rd pick / 2019
77,John Leglue\LeglJo00,25,G,6,5,310,6-7,Tulane,4/17/1996,Rook,2,
92,Isaiahh Loudermilk\LoudIs00,24,DE,15,2,249,6-7,Wisconsin,10/10/1997,Rook,2,Pittsburgh Steelers / 5th / 156th pick / 2021
35,Arthur Maulet\MaulAr00,28,CB,16,2,190,5-10,Memphis,7/13/1993,4,1,
14,Ray-Ray McCloud\McClRa00,25,WR,16,5,190,5-9,Clemson,10/15/1996,3,2,Buffalo Bills / 6th / 187th pick / 2018
26,Anthony McFarland Jr.\McFaAn00,22,RB,2,0,198,5-9,Maryland,3/4/1999,1,0,Pittsburgh Steelers / 4th / 124th pick / 2020
17,Anthony Miller\MillAn02,27,WR,1,0,199,5-11,Memphis,10/9/1994,3,0,Chicago Bears / 2nd / 51st pick / 2018
99,Henry Mondeaux\MondHe00,26,DT,15,2,280,6-4,Oregon,9/19/1995,1,2,
65,Dan Moore\MoorDa05,23,OT,16,16,258,6-5,Texas A&M,9/28/1998,Rook,7,Pittsburgh Steelers / 4th / 128th pick / 2021
21,Tre Norwood\NorwTr00,22,DB,17,3,194,6-0,Oklahoma,4/19/1999,Rook,2,Pittsburgh Steelers / 7th / 245th pick / 2021
76,Chukwuma Okorafor\OkorCh00,24,OT,16,16,320,6-6,Western Michigan,8/8/1997,3,7,Pittsburgh Steelers / 3rd / 92nd pick / 2018
42,James Pierre\PierJa01,25,DB,17,4,185,6-2,Florida Atlantic,9/16/1996,1,2,
87,Kevin Rader\RadeKe00,26,TE,6,1,250,6-4,Youngstown St.,4/26/1995,1,0,
7,Ben Roethlisberger\RoetBe00,39,QB,16,16,240,6-5,Miami (OH),3/2/1982,17,9,Pittsburgh Steelers / 1st / 11th pick / 2004
2,Mason Rudolph\RudoMa00,26,QB,2,1,235,6-5,Oklahoma St.,7/17/1995,3,1,Pittsburgh Steelers / 3rd / 76th pick / 2018
30,Tegray Scales\ScalTe00,25,OLB,1,0,227,6-0,Indiana,5/10/1996,1,0,
45,Joe Schobert\SchoJo00,28,OLB,16,15,240,6-1,Wisconsin,11/6/1993,5,6,Cleveland Browns / 4th / 99th pick / 2016
50,Delontae Scott\ScotDe01,24,DE,1,0,250,6-5,SMU,1/21/1997,Rook,0,
38,John Simon\SimoJo01,31,DE,1,0,260,6-2,Ohio St.,10/14/1990,8,0,Baltimore Ravens / 4th / 129th pick / 2013
82,Steven Sims\SimsSt00,24,WR,1,0,176,5-10,Kansas,3/31/1997,2,0,
19,JuJu Smith-Schuster\SmitJu00,25,WR,5,5,215,6-1,USC,11/22/1996,4,1,Pittsburgh Steelers / 2nd / 62nd pick / 2017
24,Benny Snell Jr.\SnelBe00,23,RB,17,0,224,5-10,Kentucky,2/26/1998,2,1,Pittsburgh Steelers / 4th / 122nd pick / 2019
41,Robert Spillane\SpilRo00,26,LB,14,4,229,6-1,Western Michigan,12/14/1995,3,2,
20,Cameron Sutton\SuttCa00,26,CB,16,16,188,5-11,Tennessee,2/27/1995,4,6,Pittsburgh Steelers / 3rd / 94th pick / 2017
51,Trai Turner\TurnTr01,28,OG,17,17,315,6-3,LSU,6/14/1993,7,6,Carolina Panthers / 3rd / 92nd pick / 2014
48,Derrek Tuszka\TuszDe00,25,DL,15,0,251,6-4,North Dakota St.,7/11/1996,1,1,Denver Broncos / 7th / 254th pick / 2020
10,Corliss Waitman\WaitCo00,26,P,2,0,210,6-2,South Alabama,7/21/1995,Rook,0,
