No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
53,Tyrell Adams\AdamTy00,29,LB,5,0,230,6-2,West Georgia,4/11/1992,5,0,
11,Brandon Aiyuk\AiyuBr00,23,WR,17,16,200,6-0,Arizona St.,3/17/1998,1,7,San Francisco 49ers / 1st / 25th pick / 2020
51,Azeez Al-Shaair\AlShAz00,24,LB,13,13,228,6-2,Florida Atlantic,8/4/1997,2,7,
91,Arik Armstead\ArmsAr01,28,DE,17,17,290,6-7,Oregon,11/15/1993,6,8,San Francisco 49ers / 1st / 17th pick / 2015
62,Aaron Banks\BankAa00,24,G,9,0,325,6-5,Notre Dame,9/3/1997,Rook,1,San Francisco 49ers / 2nd / 48th pick / 2021
17,Travis Benjamin\BenjTr00,32,WR,10,0,175,5-10,Miami (FL),12/29/1989,9,0,Cleveland Browns / 4th / 100th pick / 2012
97,Nick Bosa\BosaNi00,24,EDGE,17,17,266,6-4,Ohio St.,10/23/1997,2,12,San Francisco 49ers / 1st / 2nd pick / 2019
64,Jake Brendel\BrenJa01,29,C,16,0,299,6-4,UCLA,9/10/1992,5,1,
60,Daniel Brunskill\BrunDa00,27,OT,17,17,300,6-5,San Diego St.,1/27/1994,3,7,
40,Trenton Cannon\CannTr00,27,RB,11,0,185,5-11,Virginia St.,7/23/1994,3,0,New York Jets / 6th / 204th pick / 2018
66,Tom Compton\CompTo00,32,T,17,7,315,6-6,South Dakota,5/10/1989,9,4,Washington Redskins / 6th / 193rd pick / 2012
13,River Cracraft\CracRi00,27,WR,6,0,198,6-0,Washington St.,11/1/1994,3,0,
43,Darqueze Dennard\DennDa00,30,CB,1,0,205,5-11,Michigan St.,10/10/1991,7,0,Cincinnati Bengals / 1st / 24th pick / 2014
82,Ross Dwelley\DwelRo00,26,TE,17,2,235,6-5,San Diego,1/26/1995,3,0,
56,Samson Ebukam\EbukSa00,26,OLB,17,11,245,6-3,East. Washington,5/9/1995,4,6,Los Angeles Rams / 4th / 125th pick / 2017
45,Demetrius Flannigan-Fowles\FlanDe00,25,DB,17,2,223,6-2,Arizona,9/4/1996,1,2,
55,Dee Ford\FordDe00,30,DE,6,0,252,6-2,Auburn,3/19/1991,7,1,Kansas City Chiefs / 1st / 23rd pick / 2014
10,Jimmy Garoppolo\GaroJi00,30,QB,15,15,225,6-2,Eastern Illinois,11/2/1991,7,12,New England Patriots / 2nd / 62nd pick / 2014
90,Kevin Givens\GiveKe01,24,DL,13,0,285,6-1,Penn St.,3/1/1997,2,1,
9,Robbie Gould\gouldrob01,39,K,13,0,190,6-0,Penn St.,12/6/1982,16,3,
57,Dre Greenlaw\GreeDr00,24,LB,3,2,230,6-0,Arkansas,5/27/1997,2,2,San Francisco 49ers / 5th / 148th pick / 2019
26,Davontae Harris\HarrDa05,26,CB,1,0,200,5-11,Illinois St.,1/21/1995,3,0,Cincinnati Bengals / 5th / 151st pick / 2018
36,Marcell Harris\HarrMa03,27,S,15,7,215,6-0,Florida,6/9/1994,3,7,San Francisco 49ers / 6th / 184th pick / 2018
23,Jamycal Hasty\HastJa02,25,RB,11,0,205,5-8,Baylor,9/12/1996,1,2,
35,Brian Hill\HillBr02,26,RB,3,0,219,6-1,Wyoming,11/9/1995,4,0,Atlanta Falcons / 5th / 156th pick / 2017
84,Tanner Hudson\HudsTa00,27,TE,2,0,239,6-5,Southern Arkansas,11/12/1994,2,0,
29,Talanoa Hufanga\HufaTa00,22,S,15,3,200,6-0,USC,2/2/1999,Rook,2,San Francisco 49ers / 5th / 180th pick / 2021
96,Maurice Hurst Jr.\HursMa00,26,DT,2,0,291,6-2,Michigan,5/9/1995,3,0,Oakland Raiders / 5th / 140th pick / 2018
25,Tony Jefferson\JeffTo00,29,FS,2,0,211,5-11,Oklahoma,1/27/1992,8,0,
15,Jauan Jennings\JennJa00,24,WR,16,1,212,6-3,Tennessee,7/10/1997,Rook,2,San Francisco 49ers / 7th / 217th pick / 2020
27,Dontae Johnson\JohnDo02,30,FS,16,3,200,6-2,North Carolina St.,12/1/1991,7,2,San Francisco 49ers / 4th / 129th pick / 2014
48,Kerryon Johnson\JohnKe06,24,RB,1,0,211,5-11,Auburn,6/30/1997,3,0,Detroit Lions / 2nd / 43rd pick / 2018
93,D.J. Jones\JoneD.01,26,DT,17,17,305,6-0,East Mississippi CCMississippi,1/19/1995,4,8,San Francisco 49ers / 6th / 198th pick / 2017
44,Kyle Juszczyk\JuszKy00,30,FB,17,16,235,6-1,Harvard,4/23/1991,8,3,Baltimore Ravens / 4th / 130th pick / 2013
92,Zach Kerr\KerrZa00,31,NT,4,0,334,6-2,Delaware,8/29/1990,7,0,
98,Arden Key\KeyxAr00,25,DE,17,0,240,6-5,LSU,5/3/1996,3,2,Oakland Raiders / 3rd / 87th pick / 2018
99,Javon Kinlaw\KinlJa00,24,DL,4,4,319,6-5,South Carolina,10/3/1997,1,2,San Francisco 49ers / 1st / 14th pick / 2020
13,Dre Kirkpatrick\KirkDr00,32,CB,6,1,190,6-2,Alabama,10/26/1989,9,1,Cincinnati Bengals / 1st / 17th pick / 2012
85,George Kittle\KittGe00,28,TE,14,14,250,6-4,Iowa,10/9/1993,4,8,San Francisco 49ers / 5th / 146th pick / 2017
5,Trey Lance\LancTr00,21,QB,6,2,224,6-4,North Dakota St.,5/9/2000,Rook,3,San Francisco 49ers / 1st / 3rd pick / 2021
38,Deommodore Lenoir\LenoDe00,22,DB,13,2,200,5-10,Oregon,10/6/1999,Rook,1,San Francisco 49ers / 5th / 172nd pick / 2021
50,Alex Mack\MackAl20,36,C,17,17,311,6-4,California,11/19/1985,12,9,Cleveland Browns / 1st / 21st pick / 2009
59,Justin March\MarcJu00,28,RILB,1,0,222,6-0,Akron,7/5/1993,5,0,
88,Jordan Matthews\MattJo00,29,WR,1,0,215,6-3,Vanderbilt,7/16/1992,7,0,Philadelphia Eagles / 2nd / 42nd pick / 2014
69,Mike McGlinchey\McGlMi00,26,OT,8,8,310,6-8,Notre Dame,1/12/1995,3,4,San Francisco 49ers / 1st / 9th pick / 2018
68,Colton McKivitz\McKiCo00,25,OL,1,1,306,6-6,West Virginia,8/9/1996,1,0,San Francisco 49ers / 5th / 153rd pick / 2020
25,Elijah Mitchell\MitcEl00,23,RB,11,10,200,5-10,Louisiana,5/2/1998,Rook,7,San Francisco 49ers / 6th / 194th pick / 2021
76,Jaylon Moore\MoorJa04,23,OL,7,3,311,6-4,Western Michigan,1/9/1998,Rook,2,San Francisco 49ers / 5th / 155th pick / 2021
