No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
33,Jamal Adams\AdamJa00,26,SS,12,12,213,6-1,LSU,10/17/1995,4,5,New York Jets / 1st / 6th pick / 2017
67,Myles Adams\AdamMy00,23,DT,2,0,285,6-2,Rice,3/9/1998,Rook,0,
28,Ugo Amadi\AmadUg00,24,S,17,7,201,5-9,Oregon,5/16/1997,2,3,Seattle Seahawks / 4th / 132nd pick / 2019
31,Blessuan Austin\AustBl00,25,CB,11,1,198,6-1,Rutgers,7/19/1996,2,1,New York Jets / 6th / 196th pick / 2019
57,Cody Barton\BartCo00,25,LB,16,1,237,6-2,Utah,11/13/1996,2,2,Seattle Seahawks / 3rd / 88th pick / 2019
44,Nick Bellore\BellNi01,32,LB,17,0,250,6-1,Central Michigan,5/12/1989,10,0,
27,Marquise Blair\BlaiMa01,24,S,6,0,196,6-1,Utah,7/18/1997,2,0,Seattle Seahawks / 2nd / 47th pick / 2019
56,Jordyn Brooks\BrooJo01,24,LB,17,17,240,6-0,Texas Tech,10/21/1997,1,8,Seattle Seahawks / 1st / 27th pick / 2020
76,Duane Brown\BrowDu20,36,LT,17,17,315,6-4,Virginia Tech,8/30/1985,13,11,Houston Texans / 1st / 26th pick / 2008
22,Tre Brown\BrowTr03,24,CB,5,3,186,5-10,Oklahoma,9/24/1997,Rook,1,Seattle Seahawks / 4th / 137th pick / 2021
32,Chris Carson\CarsCh00,27,RB,4,4,222,5-11,Butler (KS)Oklahoma St.,9/16/1994,4,2,Seattle Seahawks / 7th / 249th pick / 2017
91,L.J. Collier\CollLJ00,26,DL,10,0,291,6-2,TCU,9/12/1995,2,1,Seattle Seahawks / 1st / 29th pick / 2019
41,Alex Collins\CollAl00,27,RB,11,6,210,5-10,Arkansas,8/26/1994,5,3,Seattle Seahawks / 5th / 171st pick / 2016
74,Jake Curhan\CurhJa00,23,T,15,5,316,6-6,California,2/9/1998,Rook,3,
31,DeeJay Dallas\DallDe00,23,RB,17,0,214,5-10,Miami (FL),9/16/1998,1,2,Seattle Seahawks / 4th / 144th pick / 2020
4,Michael Dickson\DickMi00,25,P,17,0,208,6-2,Texas,1/4/1996,3,3,Seattle Seahawks / 5th / 149th pick / 2018
6,Quandre Diggs\DiggQu00,28,CB,17,17,197,5-9,Texas,1/22/1993,6,9,Detroit Lions / 6th / 200th pick / 2015
89,Will Dissly\DissWi00,25,TE,15,14,265,6-4,Washington,7/8/1996,3,2,Seattle Seahawks / 4th / 120th pick / 2018
13,Phillip Dorsett\DorsPh00,28,WR,2,0,192,5-10,Miami (FL),1/5/1993,6,0,Indianapolis Colts / 1st / 29th pick / 2015
8,Carlos Dunlap\DunlCa99,32,DE,17,2,285,6-6,Florida,2/28/1989,11,3,Cincinnati Bengals / 2nd / 54th pick / 2010
1,D'Wayne Eskridge\EskrDW00,24,WR,10,0,190,5-9,Western Michigan,3/23/1997,Rook,1,Seattle Seahawks / 2nd / 56th pick / 2021
81,Gerald Everett\EverGe00,27,TE,15,12,240,6-3,South Alabama,6/25/1994,4,5,Los Angeles Rams / 2nd / 44th pick / 2017
21,Tre Flowers\FlowTr01,26,SS,5,3,203,6-3,Oklahoma St.,6/2/1995,3,1,Seattle Seahawks / 5th / 146th pick / 2018
97,Poona Ford\FordPo00,26,DT,17,17,310,5-11,Texas,11/19/1995,3,8,
78,Stone Forsythe\ForsSt00,24,T,10,0,307,6-8,Florida,12/29/1997,Rook,1,Seattle Seahawks / 6th / 208th pick / 2021
13,Aaron Fuller\FullAa01,24,WR,1,0,188,5-11,Washington,9/30/1997,Rook,0,
