No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
92,Olasunkanmi Adeniyi\AdenOl00,24,DE,16,0,248,6-1,Toledo,9/12/1997,3,1,
95,Eli Ankou\AnkoEl00,27,DT,1,1,325,6-3,UCLA,6/8/1994,4,0,
96,Denico Autry\AutrDe00,31,DE,17,11,285,6-5,East Mississippi CCMississippi St.,7/15/1990,7,6,
8,Michael Badgley\BadgMi00,26,K,1,0,183,5-10,Miami (FL),7/28/1995,3,0,
13,Cameron Batson\BatsCa00,26,WR,4,0,175,5-8,Texas Tech,12/20/1995,3,0,
41,Khari Blasingame\BlasKh00,25,RB,11,3,233,6-0,Vanderbilt,7/1/1996,2,0,
94,Amani Bledsoe\BledAm01,23,DE,5,2,280,6-4,Oklahoma,2/6/1998,1,1,
39,Breon Borders\BordBr00,26,CB,11,0,189,6-0,Duke,7/22/1995,4,1,
33,Brady Breeze\BreeBr00,24,S,5,0,198,6-0,Oregon,10/9/1997,Rook,0,Tennessee Titans / 6th / 215th pick / 2021
62,Aaron Brewer\BrewAa01,24,C,12,5,274,6-1,Texas St.,10/28/1997,1,3,
11,A.J. Brown\BrowAJ00,24,WR,13,13,226,6-1,Mississippi,6/30/1997,2,8,Tennessee Titans / 2nd / 51st pick / 2019
55,Jayon Brown\BrowJa06,26,ILB,10,6,226,6-0,UCLA,2/26/1995,4,3,Tennessee Titans / 5th / 155th pick / 2017
14,Randy Bullock\BullRa00,32,K,16,0,210,5-9,Texas A&M,12/16/1989,9,3,Houston Texans / 5th / 161st pick / 2012
31,Kevin Byard\ByarKe01,28,S,17,17,212,5-11,Middle Tenn. St.,8/17/1993,5,13,Tennessee Titans / 3rd / 64th pick / 2016
25,Jamal Carter\CartJa02,27,S,1,0,215,6-1,Miami (FL),4/12/1994,4,0,
44,Tory Carter\CartTo01,22,FB,8,2,244,6-0,LSU,3/16/1999,Rook,0,
45,Dylan Cole\ColeDy00,27,LB,9,0,237,6-0,Missouri State,5/19/1994,4,1,
46,Morgan Cox\CoxxMo00,35,C,17,0,233,6-4,Tennessee,4/26/1986,11,1,
29,Dane Cruikshank\CruiDa00,26,CB,14,4,209,6-1,Arizona,4/27/1995,3,2,Tennessee Titans / 5th / 152nd pick / 2018
33,Zach Cunningham\CunnZa00,27,OLB,4,4,238,6-3,Vanderbilt,12/2/1994,4,2,Houston Texans / 2nd / 57th pick / 2017
64,Nate Davis\DaviNa01,25,OL,14,14,316,6-3,Charlotte,9/23/1996,2,6,Tennessee Titans / 3rd / 82nd pick / 2019
69,Christian DiLauro\DiLaCh00,27,T,2,0,300,6-6,Illinois,11/11/1994,Rook,0,
48,Bud Dupree\DuprAl00,28,DE,11,6,269,6-4,Kentucky,2/12/1993,6,3,Pittsburgh Steelers / 1st / 22nd pick / 2015
49,Nick Dzubnar\DzubNi00,30,LB,17,0,240,6-1,Cal Poly-San Luis Obispo,8/15/1991,6,1,
