No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
93,Jonathan Allen\AlleJo01,26,DT,17,17,300,6-3,Alabama,1/16/1995,4,10,Washington Redskins / 1st / 17th pick / 2017
8,Kyle Allen\AlleKy00,25,QB,2,0,210,6-3,Texas A&MHouston,3/8/1996,3,0,
30,Troy Apke\ApkeTr00,26,S,17,0,206,6-1,Penn St.,4/11/1995,3,1,Washington Redskins / 4th / 109th pick / 2018
38,Alex Armah\ArmaAl00,27,FB,2,0,255,6-2,West Georgia,5/17/1994,4,0,Carolina Panthers / 6th / 192nd pick / 2017
64,David Bada\BadaDa00,26,DT,3,0,293,6-4,None,5/24/1995,Rook,0,
87,John Bates\BateJo00,24,TE,17,8,259,6-6,Boise St.,11/6/1997,Rook,2,Washington Football Team / 4th / 124th pick / 2021
12,Chris Blewitt\BlewCh00,26,K,2,0,195,5-9,Pittsburgh,5/2/1995,Rook,0,
53,Jonathan Bostic\BostJo00,30,LILB,4,4,245,6-1,Florida,5/5/1991,8,2,Chicago Bears / 2nd / 50th pick / 2013
56,William Bradley-King\BradWi00,24,OLB,3,0,248,6-4,Baylor,12/22/1997,Rook,0,Washington Football Team / 7th / 240th pick / 2021
2,Dyami Brown\BrowDy00,22,WR,15,6,195,6-0,North Carolina,11/1/1999,Rook,1,Washington Football Team / 3rd / 82nd pick / 2021
64,Shaq Calhoun\CalhSh01,25,G,1,0,310,6-3,Mississippi St.,2/20/1996,2,0,
1,DeAndre Carter\CartDe02,28,WR,17,6,188,5-8,Sacramento St.,4/10/1993,3,4,
77,Saahdiq Charles\CharSa00,22,OL,10,4,322,6-4,LSU,7/26/1999,1,2,Washington Football Team / 4th / 108th pick / 2020
54,Camaron Cheeseman\CheeCa00,23,LS,17,0,237,6-4,Michigan,4/26/1998,Rook,1,Washington Football Team / 6th / 225th pick / 2021
26,Landon Collins\CollLa00,27,SS,13,13,218,6-0,Alabama,1/10/1994,6,5,New York Giants / 2nd / 33rd pick / 2015
76,Samuel Cosmi\CosmSa00,22,OL,9,9,309,6-6,Texas,2/16/1999,Rook,4,Washington Football Team / 2nd / 51st pick / 2021
31,Kamren Curl\CurlKa00,22,S,16,14,198,6-2,Arkansas,3/3/1999,1,4,Washington Football Team / 7th / 216th pick / 2020
52,Jamin Davis\DaviJa11,23,LB,16,8,232,6-4,Kentucky,12/12/1998,Rook,4,Washington Football Team / 1st / 19th pick / 2021
64,Jamil Douglas\DougJa00,29,OG,3,0,309,6-4,Arizona St.,2/28/1992,6,0,Miami Dolphins / 4th / 114th pick / 2015
46,Milo Eifler\EiflMi00,23,LB,3,0,228,6-1,Illinois,2/13/1998,Rook,0,
35,Corn Elder\EldeCo00,27,CB,5,0,185,5-10,Miami (FL),10/9/1994,3,0,Carolina Panthers / 5th / 152nd pick / 2017
22,Deshazor Everett\EverDe01,29,CB,14,0,203,6-0,Texas A&M,2/22/1992,6,1,
14,Ryan Fitzpatrick\FitzRy00,39,QB,1,1,221,6-2,Harvard,11/24/1982,16,0,St. Louis Rams / 7th / 250th pick / 2005
79,Ereck Flowers\FlowEr00,27,OT,16,16,330,6-6,Miami (FL),4/25/1994,6,7,New York Giants / 1st / 9th pick / 2015
48,Darrick Forrest\ForrDa00,22,S,8,0,200,6-0,Cincinnati,5/22/1999,Rook,0,Washington Football Team / 5th / 163rd pick / 2021
29,Kendall Fuller\FullKe00,26,CB,16,16,198,5-11,Virginia Tech,2/13/1995,5,5,Washington Redskins / 3rd / 84th pick / 2016
18,Antonio Gandy-Golden\GandAn00,23,WR,4,0,223,6-4,Liberty,4/11/1998,1,0,Washington Football Team / 4th / 142nd pick / 2020
24,Antonio Gibson\GibsAn00,23,RB,16,14,220,6-2,Memphis,6/23/1998,1,8,Washington Football Team / 3rd / 66th pick / 2020
19,Garrett Gilbert\GilbGa01,30,QB,1,1,230,6-4,TexasSMU,7/1/1991,7,1,St. Louis Rams / 6th / 214th pick / 2014
45,De'Jon Harris\HarrDe10,24,LB,5,0,244,6-0,Arkansas,11/1/1997,1,0,
14,D.J. Hayden\HaydDJ00,31,CB,1,0,190,5-11,Houston,6/27/1990,8,0,Oakland Raiders / 1st / 12th pick / 2013
